net,length_um
net10,730.57µm
clk,258.57µm
net7,229.38µm
b_r1\[0\],223.14µm
net3,207.385µm
net9,204.205µm
net2,184.66µm
net1,181.9µm
net8,171.64µm
clknet_2_1__leaf_clk,171.56µm
net4,170.72µm
net13,169.24µm
net17,164.4µm
net15,158.46µm
net5,158.24µm
net11,156.72µm
clknet_2_0__leaf_clk,155.455µm
net12,155.12µm
net18,153.84µm
net14,152.46µm
clknet_2_2__leaf_clk,145µm
net16,141.72µm
net6,137.4µm
clknet_2_3__leaf_clk,86.24µm
clknet_0_clk,85.18µm
a[7],13.32µm
a_r1\[5\],12.62µm
product_out[5],12.4µm
a[3],12.16µm
a[1],11.7µm
a_r1\[4\],11.24µm
a[0],11.02µm
a[5],10.32µm
net26,10.32µm
a[4],9.64µm
PPs_w\[0\]\[0\],8.94µm
a_r1\[3\],8.86µm
a[2],8.72µm
net23,8.72µm
S_r4\[3\],8.46µm
S_r3\[1\]\[4\],8.18µm
product_out[4],8.04µm
PPs_w\[5\]\[5\],7.94µm
PPs_w\[7\]\[7\],7.8µm
PPs_w\[4\]\[4\],7.26µm
PPs_w\[2\]\[2\],7.22µm
a_r1\[0\],7.06µm
S_r4\[2\],6.76µm
product_out[1],6.67µm
S_r3\[1\]\[5\],6.48µm
product_out[3],6.33µm
a[6],6.09µm
product_out[7],5.99µm
net20,5.97µm
PPs_r2\[6\]\[6\],5.96µm
S_r4\[7\],5.96µm
rst,5.65µm
PPs_r3_remain\[0\]\[6\],5.52µm
PPs_r2\[4\]\[4\],5.5µm
b[0],5.41µm
S_r3\[0\]\[2\],5.38µm
a_r1\[2\],5.34µm
net22,5.29µm
product_out[6],5.29µm
a_r1\[1\],5.22µm
PPs_r2\[3\]\[3\],5.14µm
S_r4\[1\],5.06µm
PPs_w\[3\]\[3\],4.92µm
S_r3\[1\]\[3\],4.92µm
PPs_r2\[2\]\[2\],4.88µm
net24,4.61µm
net25,4.61µm
product_out[2],4.61µm
net21,4.61µm
net19,4.61µm
S_r4\[0\],4.6µm
S_r3\[0\]\[1\],4.58µm
a_r1\[7\],4.34µm
product_out[0],4.27µm
PPs_w\[1\]\[1\],4.12µm
S_r4\[4\],4.12µm
PPs_r2\[1\]\[1\],4µm
S_r4\[5\],3.76µm
PPs_r3_remain\[1\]\[7\],3.66µm
a_r1\[6\],3.1µm
S_r4\[6\],2.76µm
S_r3\[0\]\[0\],2.16µm
PPs_r2\[7\]\[7\],1.84µm
PPs_w\[6\]\[6\],1.84µm
PPs_r2\[5\]\[5\],1.82µm
PPs_r2\[0\]\[0\],1.745µm
