net,length_um
_256_,10.9µm
_276_,10.9µm
_144_,10.86µm
_332_,10.82µm
_197_,10.74µm
_372_,10.58µm
a[0],10.56µm
_008_,10.545µm
_119_,10.5µm
_266_,10.46µm
_213_,10.4µm
_330_,10.4µm
_140_,10.34µm
product[14],10.32µm
product[15],10.32µm
_109_,10.3µm
_201_,10.28µm
_167_,10.225µm
_147_,10.16µm
a[7],10.08µm
_116_,10.04µm
_292_,9.88µm
_181_,9.86µm
product[13],9.86µm
net28,9.86µm
_145_,9.815µm
_258_,9.745µm
_274_,9.74µm
_355_,9.74µm
_165_,9.72µm
_191_,9.72µm
pp3\[6\],9.52µm
_035_,9.5µm
_313_,9.46µm
_353_,9.42µm
net23,9.32µm
_223_,9.26µm
pp3\[4\],9.26µm
_187_,9.24µm
_138_,9.14µm
_034_,9.08µm
_352_,9.04µm
pp1\[4\],9.04µm
_299_,8.98µm
product[1],8.96µm
product[2],8.96µm
product[3],8.96µm
_311_,8.92µm
_122_,8.9µm
_324_,8.86µm
_207_,8.825µm
_249_,8.78µm
_246_,8.7µm
pp0\[4\],8.7µm
_273_,8.66µm
_241_,8.64µm
_224_,8.54µm
_222_,8.5µm
_257_,8.48µm
_259_,8.48µm
_270_,8.48µm
_200_,8.46µm
_253_,8.46µm
_294_,8.46µm
_014_,8.38µm
_306_,8.36µm
_184_,8.34µm
_192_,8.34µm
_189_,8.32µm
_308_,8.32µm
_081_,8.29µm
_199_,8.28µm
net7,8.26µm
_134_,8.22µm
net10,8.16µm
_067_,8.12µm
_349_,8.12µm
_225_,8.01µm
_234_,7.96µm
_248_,7.92µm
pp1\[3\],7.92µm
_285_,7.74µm
_036_,7.7µm
_235_,7.66µm
_316_,7.66µm
_286_,7.6µm
b[3],7.59µm
b[6],7.59µm
pp2\[3\],7.56µm
_305_,7.54µm
_113_,7.445µm
_179_,7.44µm
pp2\[1\],7.44µm
_045_,7.37µm
pp2\[4\],7.32µm
_012_,7.3µm
_150_,7.3µm
_220_,7.28µm
pp3\[1\],7.28µm
_023_,7.22µm
pp0\[0\],7.22µm
_226_,7.2µm
_029_,7.18µm
_348_,7.11µm
_251_,7.1µm
_108_,7.06µm
_288_,6.98µm
_304_,6.98µm
_089_,6.91µm
_297_,6.88µm
_321_,6.86µm
_031_,6.84µm
pp1\[7\],6.82µm
_154_,6.74µm
b[4],6.65µm
_114_,6.64µm
_296_,6.64µm
pp1\[6\],6.64µm
_295_,6.6µm
_312_,6.6µm
product[12],6.55µm
_367_,6.54µm
product[11],6.43µm
a[2],6.31µm
a[5],6.31µm
net65,6.3µm
_271_,6.28µm
_366_,6.28µm
_335_,6.26µm
product[6],6.21µm
product[7],6.21µm
product[8],6.21µm
_282_,6.18µm
pp3\[5\],6.18µm
_196_,6.065µm
_198_,6.06µm
_341_,6.06µm
_345_,6.06µm
_314_,6.04µm
_328_,6.04µm
b[0],5.99µm
b[7],5.97µm
_021_,5.96µm
_126_,5.94µm
_130_,5.92µm
_163_,5.72µm
_190_,5.72µm
_120_,5.68µm
a[1],5.63µm
a[3],5.63µm
a[4],5.63µm
_022_,5.6µm
_059_,5.56µm
_083_,5.56µm
product[9],5.53µm
_005_,5.5µm
_082_,5.43µm
_133_,5.4µm
net19,5.38µm
_128_,5.36µm
_123_,5.34µm
_152_,5.26µm
_172_,5.26µm
_205_,5.26µm
_361_,5.26µm
_136_,5.22µm
_159_,5.22µm
_331_,5.22µm
_018_,5.14µm
_124_,5.14µm
_169_,5.14µm
net6,5.14µm
_026_,5.065µm
_374_,5.06µm
_127_,5.02µm
_250_,5.02µm
_091_,5µm
a[6],4.95µm
b[5],4.95µm
_278_,4.94µm
_329_,4.94µm
_017_,4.92µm
_030_,4.92µm
_237_,4.92µm
_350_,4.92µm
_371_,4.92µm
_279_,4.9µm
_064_,4.88µm
_180_,4.88µm
product[10],4.85µm
product[5],4.85µm
_204_,4.82µm
_095_,4.8µm
_132_,4.8µm
_156_,4.8µm
net27,4.8µm
_061_,4.76µm
net21,4.76µm
net22,4.76µm
net30,4.76µm
_093_,4.68µm
_369_,4.68µm
_289_,4.675µm
_058_,4.61µm
_068_,4.61µm
_075_,4.61µm
b[2],4.61µm
net9,4.58µm
_092_,4.54µm
_111_,4.48µm
_143_,4.48µm
_290_,4.48µm
_300_,4.48µm
pp1\[1\],4.48µm
_269_,4.46µm
_354_,4.46µm
pp0\[2\],4.46µm
_323_,4.41µm
product[4],4.39µm
_370_,4.36µm
_376_,4.36µm
_174_,4.34µm
_188_,4.34µm
_334_,4.34µm
_344_,4.34µm
net26,4.34µm
_206_,4.22µm
_303_,4.22µm
_079_,4.15µm
_281_,4.14µm
_057_,4.12µm
net66,4.12µm
net68,4.12µm
_077_,4.08µm
_137_,4.08µm
_186_,4.005µm
_359_,4µm
_360_,4µm
rst,3.93µm
_298_,3.88µm
_364_,3.88µm
net69,3.88µm
_033_,3.76µm
net1,3.76µm
net5,3.685µm
pp0\[1\],3.68µm
_161_,3.66µm
_162_,3.64µm
_060_,3.59µm
_176_,3.56µm
_078_,3.54µm
_317_,3.54µm
_319_,3.54µm
_142_,3.42µm
_211_,3.42µm
_373_,3.42µm
net24,3.42µm
net25,3.42µm
_048_,3.3µm
net64,3.3µm
_101_,3.23µm
_135_,3.22µm
_214_,3.1µm
net11,3.1µm
_085_,3.08µm
_208_,3.08µm
_320_,3.08µm
_362_,2.98µm
_368_,2.98µm
_168_,2.96µm
_302_,2.96µm
_046_,2.84µm
_051_,2.84µm
_053_,2.84µm
_054_,2.84µm
_055_,2.84µm
_096_,2.84µm
net14,2.84µm
_025_,2.76µm
_062_,2.69µm
_076_,2.69µm
_097_,2.69µm
_102_,2.69µm
_032_,2.665µm
_013_,2.64µm
_217_,2.64µm
_347_,2.64µm
_071_,2.62µm
net18,2.62µm
net63,2.62µm
net67,2.62µm
_146_,2.52µm
_069_,2.5µm
pp3\[0\],2.5µm
_094_,2.38µm
_107_,2.38µm
_182_,2.3µm
pp0\[3\],2.3µm
_027_,2.28µm
_160_,2.28µm
_307_,2.28µm
_047_,2.23µm
_063_,2.23µm
_073_,2.23µm
_074_,2.23µm
_080_,2.23µm
_087_,2.23µm
_088_,2.23µm
_098_,2.23µm
_100_,2.23µm
_103_,2.23µm
_104_,2.23µm
_185_,2.18µm
net71,2.18µm
_050_,2.16µm
_193_,2.16µm
_318_,2.16µm
_336_,2.16µm
net2,2.16µm
net3,2.16µm
net4,2.16µm
net8,2.16µm
net20,2.16µm
_066_,2.04µm
_070_,2.04µm
_129_,2.04µm
net32,2.04µm
net33,2.04µm
_037_,1.84µm
_346_,1.84µm
_015_,1.82µm
_044_,1.82µm
_056_,1.82µm
net13,1.82µm
net16,1.82µm
_072_,1.75µm
_247_,1.72µm
_343_,1.7µm
net29,1.7µm
net31,1.7µm
pp3\[7\],1.6µm
_139_,1.38µm
_149_,1.38µm
_049_,1.36µm
_052_,1.36µm
_065_,1.36µm
_084_,1.36µm
_086_,1.36µm
_090_,1.36µm
_099_,1.36µm
_105_,1.36µm
_106_,1.36µm
net12,1.36µm
net15,1.36µm
_229_,1.26µm
_284_,1.26µm
_231_,1.14µm
_263_,1.14µm
_242_,0.92µm
_356_,0.765µm
_375_,0.46µm
