net,length_um
net17,171.54µm
net56,146.325µm
clknet_0_clk,135.415µm
net61,130.8µm
net44,128.89µm
net43,115.49µm
net37,114.02µm
clknet_3_5__leaf_clk,106.74µm
net62,104.15µm
clknet_3_7__leaf_clk,103.08µm
clknet_3_1__leaf_clk,101.65µm
net36,101.47µm
net38,99.56µm
net41,98.885µm
clknet_3_2__leaf_clk,98.59µm
net59,96.85µm
net53,96.6µm
clknet_3_6__leaf_clk,95.82µm
clk,95.67µm
net39,92.62µm
net60,87µm
net34,81.705µm
net57,81.175µm
net52,80.805µm
net48,80.325µm
net54,80.22µm
a_low\[1\],77.79µm
net55,75.16µm
clknet_3_3__leaf_clk,74µm
b_low\[1\],70.4µm
net50,67.985µm
net49,67.85µm
b_low\[0\],67.48µm
clknet_3_4__leaf_clk,62.94µm
clknet_3_0__leaf_clk,62.76µm
net51,60.88µm
net42,58.995µm
net47,57.845µm
b_low\[3\],55.22µm
b_high\[3\],55.1µm
net45,53.88µm
a_low\[2\],52.7µm
_039_,50.74µm
a_low\[0\],50.34µm
b_high\[0\],50.08µm
net40,46.62µm
b_low\[2\],43.84µm
net46,43.32µm
_243_,41.31µm
_016_,38.96µm
a_high\[0\],36.54µm
_210_,35.61µm
_264_,34.82µm
_164_,34.355µm
a_high\[3\],33.42µm
_043_,33.32µm
_007_,33.22µm
b_high\[2\],32.52µm
net58,32.32µm
_006_,29.54µm
_020_,28.865µm
a_high\[1\],28.32µm
pp1\[5\],27.44µm
b_high\[1\],27.335µm
a_high\[2\],26.32µm
pp2\[0\],26.3µm
_252_,25.4µm
_254_,24.92µm
_010_,24.845µm
_310_,24.52µm
_245_,24.26µm
_227_,23.88µm
_141_,23.85µm
_001_,23.54µm
_261_,23.52µm
_363_,23.5µm
_112_,23.32µm
_309_,23.14µm
_117_,21.74µm
_178_,21.66µm
_342_,21.2µm
_230_,21.08µm
net70,20.64µm
_041_,20.6µm
_244_,20.56µm
_267_,20.54µm
net35,20.42µm
_203_,20.34µm
pp3\[2\],19.44µm
_121_,19.3µm
_221_,19.28µm
_301_,18.86µm
_262_,18.82µm
_042_,18.745µm
_322_,18.7µm
_177_,18.61µm
_038_,18.305µm
_219_,18.185µm
_260_,17.96µm
_337_,17.94µm
_118_,17.78µm
_155_,17.5µm
_115_,17.33µm
_232_,17.22µm
_003_,16.9µm
pp2\[6\],16.88µm
_171_,16.81µm
_275_,16.74µm
_340_,16.62µm
_358_,16.56µm
_183_,16.24µm
_325_,16.22µm
_265_,16.18µm
_148_,16.08µm
_287_,16.03µm
_011_,15.96µm
_228_,15.62µm
_151_,15.56µm
_157_,15.56µm
_293_,15.28µm
_009_,15.26µm
_283_,15.26µm
_158_,15.24µm
_194_,15.18µm
_268_,15.16µm
b[1],15.16µm
_019_,15.14µm
_315_,15.06µm
_173_,14.92µm
_333_,14.9µm
_291_,14.83µm
pp1\[0\],14.52µm
_272_,14.46µm
pp2\[2\],14.26µm
_255_,14.18µm
_125_,13.92µm
_000_,13.72µm
_277_,13.7µm
_131_,13.62µm
pp1\[2\],13.39µm
pp3\[3\],13.38µm
pp0\[6\],13.24µm
_357_,13.04µm
_028_,12.96µm
_110_,12.96µm
_153_,12.94µm
_212_,12.92µm
_233_,12.92µm
_175_,12.89µm
_002_,12.885µm
_024_,12.86µm
_238_,12.8µm
_339_,12.74µm
a_low\[3\],12.66µm
_216_,12.63µm
_327_,12.595µm
_338_,12.58µm
_351_,12.58µm
pp2\[5\],12.3µm
_365_,12.1µm
_239_,12.08µm
pp2\[7\],12.08µm
_166_,12.02µm
_040_,11.96µm
pp0\[5\],11.88µm
_202_,11.84µm
_170_,11.7µm
_209_,11.54µm
_215_,11.54µm
_280_,11.42µm
_195_,11.38µm
product[0],11.22µm
pp0\[7\],11.2µm
_326_,11.18µm
_240_,11.08µm
_218_,11.065µm
_236_,11.06µm
_004_,11.04µm
