net,length_um
_033_,5.34µm
_159_,5.34µm
_062_,5.28µm
_308_,5.27µm
_066_,5.26µm
_242_,5.26µm
product[7],5.19µm
_069_,5.14µm
_172_,5.14µm
_015_,5.1µm
product_reg\[10\],5.04µm
_146_,5.02µm
_178_,5.02µm
_187_,5.02µm
_217_,5.02µm
_311_,5.02µm
_199_,4.92µm
_160_,4.9µm
_258_,4.9µm
product[5],4.85µm
product[8],4.85µm
_040_,4.82µm
_181_,4.82µm
_310_,4.82µm
_021_,4.8µm
_095_,4.8µm
net33,4.76µm
_014_,4.68µm
product_reg\[1\],4.58µm
_184_,4.56µm
net3,4.54µm
net7,4.54µm
_096_,4.48µm
_164_,4.48µm
_022_,4.46µm
_144_,4.46µm
_304_,4.46µm
_316_,4.46µm
net30,4.42µm
_283_,4.36µm
net19,4.34µm
_011_,4.27µm
_078_,4.22µm
_156_,4.14µm
_177_,4.1µm
_292_,4.02µm
_300_,4.02µm
_320_,4.02µm
_141_,4µm
_252_,4µm
_012_,3.98µm
_101_,3.975µm
_060_,3.94µm
_042_,3.88µm
_192_,3.88µm
_295_,3.88µm
net20,3.88µm
_138_,3.76µm
_180_,3.76µm
_234_,3.54µm
_243_,3.54µm
net17,3.54µm
_167_,3.42µm
_000_,3.4µm
product_reg\[7\],3.22µm
product_reg\[13\],3.2µm
_147_,3.18µm
_009_,3.15µm
_294_,3.1µm
_027_,3.06µm
_036_,2.96µm
_130_,2.96µm
net18,2.96µm
net23,2.96µm
net34,2.96µm
_002_,2.84µm
_020_,2.84µm
_023_,2.84µm
_086_,2.84µm
net13,2.84µm
product_reg\[4\],2.76µm
_260_,2.74µm
product_reg\[6\],2.74µm
net12,2.74µm
_314_,2.64µm
_132_,2.62µm
product_reg\[5\],2.62µm
_007_,2.5µm
_195_,2.5µm
_212_,2.5µm
_231_,2.5µm
_255_,2.5µm
_264_,2.5µm
_288_,2.5µm
net25,2.5µm
_282_,2.4µm
_008_,2.38µm
_013_,2.38µm
_017_,2.38µm
_019_,2.38µm
_024_,2.38µm
_028_,2.38µm
_030_,2.38µm
_031_,2.38µm
_136_,2.3µm
_145_,2.3µm
_202_,2.3µm
product_reg\[3\],2.28µm
_004_,2.23µm
_005_,2.23µm
_018_,2.23µm
_068_,2.18µm
_179_,2.18µm
_229_,2.18µm
_248_,2.18µm
_039_,2.16µm
_176_,2.16µm
_247_,2.16µm
_297_,2.16µm
_313_,2.16µm
product_reg\[2\],2.16µm
net11,2.16µm
net14,2.16µm
net15,2.16µm
_100_,2.04µm
_139_,2.04µm
_221_,2.04µm
_235_,2.04µm
net24,2.04µm
net29,2.04µm
_274_,1.915µm
_170_,1.84µm
_003_,1.82µm
net6,1.82µm
net16,1.82µm
_269_,1.7µm
product_reg\[15\],1.7µm
net27,1.7µm
_207_,1.38µm
_001_,1.36µm
_016_,1.36µm
_025_,1.36µm
_026_,1.36µm
_029_,1.36µm
_267_,1.14µm
