net,length_um
clknet_1_1__leaf_clk,314.52µm
clknet_1_0__leaf_clk,295.125µm
net65,227µm
net42,168.4µm
clk,152.35µm
net50,151.76µm
b1\[1\],150.92µm
net64,150.5µm
b0\[1\],145.71µm
b2\[1\],143.235µm
net56,133.74µm
net34,130.975µm
b3\[1\],130.815µm
a0\[0\],129.98µm
a1\[0\],129.805µm
clknet_leaf_0_clk,125.24µm
clknet_leaf_22_clk,123.93µm
a3\[1\],123.64µm
clknet_leaf_9_clk,121.38µm
a1\[1\],119.28µm
b0\[0\],117.815µm
a2\[1\],116.625µm
b1\[0\],115.38µm
b2\[0\],112.55µm
clknet_leaf_19_clk,112.42µm
a3\[0\],110.23µm
net52,106.74µm
clknet_leaf_1_clk,106.56µm
clknet_leaf_12_clk,103.67µm
net44,103.14µm
net36,101.78µm
net53,101.585µm
net41,99.7µm
clknet_leaf_11_clk,98.08µm
net49,97.58µm
b3\[0\],96.85µm
net62,96.64µm
clknet_leaf_15_clk,95.08µm
clknet_leaf_10_clk,94.74µm
net43,93.36µm
clknet_leaf_2_clk,92.5µm
a0\[1\],92.1µm
net35,90.72µm
net39,90.62µm
clknet_leaf_17_clk,90.1µm
net40,88.92µm
net51,87.32µm
clknet_leaf_5_clk,86.85µm
net37,85.68µm
net57,85.395µm
clknet_leaf_16_clk,85.325µm
net48,84.98µm
a2\[0\],84.1µm
clknet_leaf_21_clk,84.04µm
clknet_leaf_18_clk,82.3µm
net45,81.86µm
net54,81.54µm
net60,78.32µm
net55,76.76µm
net59,75.84µm
clknet_leaf_4_clk,75.62µm
clknet_leaf_6_clk,73.88µm
net46,73.68µm
clknet_leaf_3_clk,71.74µm
net47,68µm
net38,67.84µm
net58,62.68µm
clknet_leaf_7_clk,62.12µm
clknet_leaf_13_clk,62µm
clknet_leaf_8_clk,60.18µm
net61,59.69µm
clknet_leaf_20_clk,54.84µm
clknet_leaf_14_clk,53.98µm
net63,52.3µm
pp3\[7\]\[0\],47.82µm
clknet_0_clk,47.42µm
_0413_,40.52µm
pp3\[7\]\[1\],38.02µm
_0049_,36.94µm
pp3\[10\]\[0\],36.02µm
_0061_,33.14µm
_0074_,31.98µm
_0037_,31.58µm
pp3\[5\]\[2\],31.28µm
pp3\[2\]\[1\],31.18µm
_0013_,28.54µm
_0525_,28.08µm
_0628_,27.46µm
_0053_,26.95µm
_0551_,26.78µm
pp3\[2\]\[2\],26.7µm
pp3\[4\]\[0\],26.7µm
_0568_,26.34µm
_0537_,25.7µm
g2_5\[2\],25.42µm
g2_5\[5\],25.18µm
pp3\[7\]\[3\],24.24µm
pp3\[14\]\[0\],23.84µm
_0503_,23.8µm
_0057_,23.64µm
_0629_,23.64µm
pp3\[2\]\[0\],22.98µm
_0558_,22.96µm
_0513_,22.74µm
_0076_,22.6µm
part2_8\[8\],22.42µm
pp3\[6\]\[2\],22.38µm
_0389_,22.18µm
_0531_,22.06µm
_0600_,21.7µm
mid_8\[10\],21.68µm
_0403_,21.6µm
_0544_,21.56µm
_0012_,21.34µm
pp3\[7\]\[2\],21.34µm
part0_7\[4\],21.2µm
_0044_,21µm
_0455_,20.82µm
_0532_,20.74µm
pp3\[4\]\[2\],20.445µm
_0114_,20.32µm
g3_5\[0\],20.14µm
_0036_,20.1µm
b[0],20.01µm
_0429_,19.99µm
pp3\[10\]\[1\],19.74µm
_0038_,19.64µm
part2_8\[12\],19.46µm
_0586_,19.34µm
pp3\[4\]\[1\],18.865µm
_0567_,18.78µm
g2_5\[4\],18.78µm
_0522_,18.66µm
_0552_,18.54µm
net106,18.48µm
_0620_,18.42µm
_0051_,18.18µm
part1_7\[4\],17.96µm
_0405_,17.78µm
_0526_,17.46µm
_0125_,17.38µm
_0521_,17.36µm
_0409_,17.04µm
pp3\[13\]\[1\],16.98µm
_0387_,16.86µm
_0536_,16.86µm
part0_7\[7\],16.68µm
part2_8\[11\],16.6µm
_0407_,16.56µm
g1_5\[0\],16.52µm
mid_8\[8\],16.4µm
part2_7\[9\],16.32µm
_0541_,16.24µm
_0543_,16.03µm
_0110_,15.92µm
part1_7\[11\],15.68µm
_0453_,15.64µm
_0173_,15.55µm
part2_8\[10\],15.52µm
net227,15.4µm
pp3\[14\]\[1\],15.38µm
_0070_,15.17µm
_0452_,15.12µm
_0505_,14.96µm
mid_8\[3\],14.9µm
_0579_,14.88µm
a[7],14.8µm
_0498_,14.78µm
_0634_,14.74µm
_0434_,14.72µm
_0105_,14.68µm
_0499_,14.6µm
_0476_,14.46µm
g1_5\[4\],14.46µm
_0055_,14.44µm
_0631_,14.4µm
_0101_,14.39µm
_0547_,14.36µm
_0597_,14.18µm
_0093_,14.08µm
_0118_,14.06µm
g4_5\[2\],14.04µm
_0550_,13.86µm
_0622_,13.7µm
_0034_,13.68µm
part2_8\[14\],13.67µm
_0595_,13.595µm
part2_7\[12\],13.58µm
pp2\[6\]\[3\],13.5µm
_0575_,13.42µm
g2_5\[3\],13.18µm
_0468_,13.04µm
pp3\[12\]\[1\],13.04µm
_0392_,13µm
_0546_,12.96µm
g4_5\[5\],12.96µm
_0380_,12.94µm
_0581_,12.9µm
_0354_,12.85µm
_0502_,12.82µm
_0598_,12.8µm
_0136_,12.78µm
part1_7\[7\],12.72µm
net224,12.68µm
_0542_,12.54µm
_0608_,12.54µm
net7,12.54µm
_0383_,12.5µm
_0496_,12.5µm
_0548_,12.5µm
part1_7\[12\],12.5µm
_0511_,12.46µm
g5_5\[2\],12.3µm
pp3\[1\]\[3\],12.3µm
_0381_,12.18µm
part0_7\[5\],12.16µm
_0594_,12.1µm
_0557_,12.08µm
_0589_,12.04µm
part1_7\[8\],12µm
_0609_,11.98µm
part0_6\[1\],11.96µm
_0218_,11.92µm
_0564_,11.9µm
_0422_,11.88µm
net74,11.88µm
g1_5\[1\],11.84µm
net72,11.84µm
_0588_,11.78µm
pp3\[0\]\[2\],11.78µm
_0393_,11.76µm
pp2\[7\]\[3\],11.76µm
_0462_,11.73µm
net114,11.72µm
net202,11.7µm
_0451_,11.6µm
_0483_,11.54µm
part1_7\[6\],11.52µm
_0533_,11.44µm
g3_5\[4\],11.42µm
part2_7\[8\],11.36µm
_0605_,11.34µm
_0441_,11.28µm
pp3\[14\]\[3\],11.2µm
_0626_,11.16µm
_0475_,11.02µm
_0352_,11.01µm
_0092_,10.92µm
g5_5\[0\],10.92µm
pp3\[6\]\[0\],10.92µm
_0046_,10.9µm
part1_6\[8\],10.9µm
pp2\[0\]\[1\],10.9µm
pp3\[6\]\[3\],10.88µm
_0494_,10.86µm
_0261_,10.85µm
_0425_,10.82µm
_0625_,10.82µm
_0587_,10.8µm
pp3\[2\]\[3\],10.8µm
_0408_,10.74µm
_0514_,10.74µm
a[3],10.73µm
_0019_,10.72µm
_0400_,10.72µm
_0378_,10.7µm
pp3\[5\]\[0\],10.66µm
_0458_,10.54µm
g5_5\[4\],10.54µm
pp3\[3\]\[3\],10.54µm
_0102_,10.44µm
_0578_,10.4µm
_0065_,10.36µm
_0071_,10.36µm
net9,10.36µm
mid_8\[7\],10.3µm
pp2\[0\]\[0\],10.3µm
pp3\[0\]\[3\],10.28µm
_0580_,10.24µm
_0621_,10.24µm
net17,10.24µm
_0265_,10.2µm
_0437_,10.2µm
_0538_,10.16µm
_0603_,10.14µm
_0566_,10.08µm
g5_5\[1\],10.08µm
net228,10.08µm
_0083_,10.025µm
_0510_,9.94µm
_0335_,9.93µm
_0432_,9.9µm
_0106_,9.86µm
part2_8\[13\],9.84µm
_0464_,9.72µm
_0611_,9.72µm
_0472_,9.7µm
pp3\[1\]\[0\],9.7µm
