net,length_um
_0396_,9.68µm
_0059_,9.66µm
_0124_,9.66µm
product[15],9.64µm
_0428_,9.62µm
pp3\[9\]\[0\],9.6µm
g4_5\[4\],9.58µm
_0082_,9.54µm
g2_5\[0\],9.52µm
_0054_,9.5µm
_0619_,9.4µm
_0427_,9.36µm
pp3\[9\]\[1\],9.36µm
_0062_,9.34µm
_0039_,9.325µm
_0113_,9.16µm
_0376_,9.16µm
g4_5\[3\],9.16µm
pp3\[3\]\[2\],9.16µm
_0433_,9.14µm
_0269_,9.11µm
g1_4\[0\],9.06µm
_0570_,9.04µm
_0385_,9.02µm
part1_6\[7\],9.02µm
net142,8.98µm
_0488_,8.96µm
product[1],8.96µm
_0495_,8.8µm
_0612_,8.8µm
_0058_,8.78µm
_0583_,8.78µm
_0602_,8.78µm
_0388_,8.72µm
_0466_,8.72µm
pp3\[4\]\[3\],8.66µm
b[5],8.63µm
pp2\[1\]\[1\],8.62µm
_0284_,8.61µm
_0563_,8.6µm
mid_8\[1\],8.6µm
part0_6\[5\],8.6µm
part1_6\[12\],8.6µm
part1_6\[5\],8.6µm
_0290_,8.57µm
_0031_,8.56µm
_0121_,8.56µm
pp3\[0\]\[1\],8.56µm
_0127_,8.52µm
g5_5\[3\],8.52µm
mid_8\[9\],8.52µm
net8,8.52µm
pp2\[0\]\[2\],8.5µm
_0577_,8.46µm
_0406_,8.44µm
_0471_,8.44µm
_0094_,8.385µm
_0584_,8.32µm
_0623_,8.31µm
_0069_,8.26µm
pp3\[15\]\[1\],8.24µm
net234,8.195µm
pp3\[8\]\[1\],8.16µm
g3_5\[5\],8.14µm
part0_6\[0\],8.14µm
_0545_,8.1µm
part1_6\[6\],8.1µm
pp3\[13\]\[3\],8.1µm
mid_8\[11\],8.08µm
pp3\[5\]\[1\],8.08µm
_0130_,8.06µm
_0420_,8.06µm
a[0],8.01µm
a[6],8.01µm
_0590_,8µm
_0593_,8µm
net118,7.985µm
mid_8\[12\],7.98µm
_0149_,7.94µm
_0459_,7.92µm
_0559_,7.92µm
pp3\[11\]\[0\],7.9µm
_0086_,7.8µm
pp3\[10\]\[3\],7.8µm
_0530_,7.78µm
_0572_,7.78µm
pp3\[6\]\[1\],7.78µm
_0165_,7.75µm
_0098_,7.7µm
part2_7\[11\],7.68µm
net223,7.68µm
_0231_,7.67µm
_0285_,7.67µm
_0411_,7.66µm
part2_8\[9\],7.66µm
net128,7.64µm
_0384_,7.62µm
net221,7.6µm
pp2\[4\]\[3\],7.58µm
product[12],7.57µm
_0486_,7.56µm
g1_5\[2\],7.56µm
_0379_,7.54µm
_0217_,7.53µm
mid_8\[13\],7.52µm
_0482_,7.48µm
_0632_,7.4µm
net104,7.34µm
net233,7.34µm
_0397_,7.32µm
_0456_,7.32µm
_0238_,7.3µm
_0439_,7.28µm
net4,7.26µm
_0097_,7.24µm
pp2\[3\]\[0\],7.22µm
_0560_,7.18µm
pp2\[1\]\[2\],7.18µm
pp2\[5\]\[3\],7.18µm
pp3\[13\]\[2\],7.18µm
pp3\[15\]\[0\],7.18µm
pp3\[8\]\[2\],7.18µm
sum_9\[1\],7.18µm
net169,7.16µm
_0359_,7.14µm
net75,7.14µm
_0553_,7.12µm
_0382_,7.1µm
net81,7.1µm
_0050_,7.08µm
_0447_,7.08µm
_0479_,7.08µm
_0582_,7.06µm
_0426_,6.98µm
_0569_,6.98µm
_0497_,6.96µm
_0504_,6.96µm
net12,6.94µm
net148,6.94µm
_0300_,6.87µm
_0485_,6.86µm
_0508_,6.86µm
net204,6.84µm
_0158_,6.83µm
_0167_,6.83µm
_0212_,6.83µm
_0040_,6.78µm
_0067_,6.78µm
g2_4\[1\],6.78µm
pp3\[14\]\[2\],6.78µm
_0336_,6.77µm
_0414_,6.74µm
_0615_,6.74µm
_0000_,6.72µm
_0084_,6.72µm
part0_7\[3\],6.72µm
pp2\[3\]\[3\],6.72µm
net182,6.72µm
net177,6.7µm
a[1],6.65µm
a[2],6.65µm
b[7],6.65µm
_0096_,6.64µm
_0416_,6.64µm
_0562_,6.6µm
g3_5\[1\],6.6µm
net157,6.565µm
product[6],6.55µm
part0_7\[6\],6.52µm
part1_7\[5\],6.52µm
part1_7\[10\],6.48µm
_0099_,6.44µm
_0549_,6.44µm
b[6],6.43µm
_0027_,6.42µm
_0565_,6.4µm
net189,6.38µm
_0134_,6.37µm
_0163_,6.37µm
_0391_,6.36µm
net82,6.3µm
net186,6.3µm
_0606_,6.28µm
pp3\[15\]\[3\],6.28µm
part1_7\[9\],6.26µm
pp2\[3\]\[1\],6.26µm
product[4],6.21µm
product[5],6.21µm
g4_5\[0\],6.2µm
_0527_,6.18µm
g1_5\[3\],6.18µm
_0377_,6.14µm
_0540_,6.14µm
net25,6.14µm
net215,6.14µm
_0228_,6.06µm
_0255_,6.02µm
_0487_,6.02µm
pp3\[8\]\[3\],6.01µm
_0041_,5.98µm
_0088_,5.98µm
_0404_,5.98µm
a[4],5.97µm
b[2],5.97µm
b[3],5.97µm
b[4],5.97µm
_0112_,5.96µm
_0246_,5.96µm
_0337_,5.95µm
_0591_,5.94µm
_0438_,5.92µm
net135,5.92µm
_0344_,5.91µm
_0349_,5.91µm
net67,5.9µm
_0375_,5.87µm
_0052_,5.86µm
_0042_,5.84µm
net146,5.84µm
_0507_,5.82µm
_0529_,5.82µm
_0573_,5.82µm
_0361_,5.8µm
_0524_,5.8µm
_0556_,5.8µm
g2_4\[0\],5.8µm
_0227_,5.75µm
_0474_,5.72µm
_0115_,5.685µm
_0043_,5.68µm
_0262_,5.6µm
pp3\[13\]\[0\],5.6µm
net84,5.6µm
_0138_,5.56µm
_0147_,5.56µm
_0192_,5.56µm
_0252_,5.56µm
_0324_,5.56µm
_0370_,5.53µm
product[11],5.53µm
part1_6\[11\],5.52µm
_0470_,5.48µm
pp3\[1\]\[2\],5.48µm
pp3\[8\]\[0\],5.48µm
_0017_,5.4µm
pp2\[2\]\[1\],5.4µm
_0016_,5.38µm
_0445_,5.38µm
_0534_,5.38µm
pp2\[7\]\[2\],5.38µm
sum_9\[15\],5.38µm
net26,5.38µm
net31,5.38µm
net32,5.38µm
net217,5.38µm
_0469_,5.34µm
_0561_,5.34µm
_0627_,5.34µm
b[1],5.29µm
pp3\[1\]\[1\],5.28µm
net70,5.28µm
_0078_,5.26µm
_0616_,5.26µm
net101,5.26µm
net102,5.26µm
net110,5.26µm
net111,5.26µm
net180,5.26µm
pp3\[11\]\[2\],5.24µm
_0610_,5.22µm
product[2],5.19µm
product[8],5.19µm
_0109_,5.165µm
_0417_,5.14µm
_0614_,5.14µm
sum_9\[6\],5.14µm
net121,5.14µm
net126,5.14µm
net200,5.14µm
net231,5.14µm
_0045_,5.1µm
_0148_,5.1µm
_0150_,5.1µm
_0291_,5.1µm
_0355_,5.1µm
_0398_,5.1µm
_0576_,5.1µm
_0141_,5.07µm
_0266_,5.07µm
product[3],5.07µm
_0080_,5.065µm
net181,5.04µm
_0401_,5.02µm
_0491_,5.02µm
_0515_,5.02µm
pp3\[11\]\[1\],5.02µm
net153,5µm
_0206_,4.99µm
_0024_,4.94µm
_0402_,4.94µm
_0431_,4.94µm
net103,4.94µm
_0208_,4.93µm
_0030_,4.92µm
_0423_,4.92µm
_0512_,4.92µm
net108,4.92µm
net109,4.92µm
g3_5\[2\],4.91µm
_0448_,4.88µm
_0449_,4.88µm
pp3\[12\]\[2\],4.88µm
net176,4.88µm
_0132_,4.87µm
product[0],4.85µm
product[10],4.85µm
product[13],4.85µm
product[14],4.85µm
product[7],4.85µm
product[9],4.85µm
pp3\[3\]\[1\],4.82µm
pp3\[9\]\[3\],4.82µm
_0184_,4.8µm
_0186_,4.8µm
_0253_,4.8µm
net27,4.8µm
pp3\[11\]\[3\],4.78µm
_0144_,4.76µm
net30,4.76µm
_0363_,4.68µm
_0535_,4.68µm
_0599_,4.68µm
net209,4.68µm
_0236_,4.61µm
_0332_,4.61µm
a[5],4.61µm
rst,4.61µm
_0007_,4.58µm
_0015_,4.58µm
net14,4.58µm
_0457_,4.56µm
_0056_,4.54µm
net5,4.54µm
net13,4.54µm
net16,4.54µm
_0168_,4.51µm
_0091_,4.48µm
_0467_,4.48µm
pp3\[15\]\[2\],4.48µm
_0047_,4.46µm
_0196_,4.46µm
_0372_,4.46µm
_0574_,4.46µm
g1_4\[2\],4.46µm
g1_4\[3\],4.46µm
g2_4\[3\],4.46µm
part1_6\[10\],4.46µm
sum_9\[0\],4.46µm
sum_9\[10\],4.46µm
sum_9\[12\],4.46µm
sum_9\[2\],4.46µm
sum_9\[8\],4.46µm
net133,4.46µm
net145,4.46µm
net203,4.46µm
_0418_,4.44µm
_0554_,4.42µm
part0_7\[2\],4.42µm
net18,4.42µm
net19,4.42µm
_0624_,4.36µm
_0637_,4.36µm
_0117_,4.34µm
_0412_,4.34µm
_0500_,4.34µm
_0630_,4.34µm
_0444_,4.3µm
_0207_,4.27µm
_0195_,4.22µm
_0477_,4.22µm
net206,4.22µm
net214,4.22µm
_0100_,4.145µm
_0108_,4.14µm
_0126_,4.12µm
net122,4.12µm
net132,4.12µm
net190,4.12µm
net191,4.12µm
net213,4.12µm
_0219_,4.08µm
_0523_,4.08µm
_0157_,4.05µm
_0264_,4.05µm
_0089_,4.02µm
_0248_,4µm
_0454_,4µm
_0633_,4µm
mid_8\[6\],4µm
part0_6\[3\],4µm
part2_7\[14\],4µm
pp3\[12\]\[3\],4µm
net130,4µm
net144,4µm
net154,4µm
net163,4µm
net178,4µm
net179,4µm
net183,4µm
net198,4µm
_0193_,3.98µm
_0617_,3.98µm
_0490_,3.9µm
_0075_,3.88µm
_0280_,3.88µm
_0399_,3.88µm
_0585_,3.88µm
_0638_,3.88µm
g3_5\[3\],3.88µm
pp3\[9\]\[2\],3.88µm
net68,3.88µm
net160,3.88µm
_0011_,3.76µm
_0064_,3.76µm
pp3\[10\]\[2\],3.76µm
net143,3.76µm
_0283_,3.69µm
_0320_,3.69µm
_0026_,3.68µm
_0501_,3.68µm
_0068_,3.66µm
_0085_,3.66µm
_0331_,3.66µm
net1,3.66µm
net2,3.66µm
net6,3.66µm
net129,3.66µm
net147,3.66µm
net164,3.66µm
net185,3.66µm
net196,3.66µm
_0368_,3.64µm
_0481_,3.64µm
_0506_,3.64µm
pp3\[3\]\[0\],3.64µm
net66,3.64µm
net78,3.64µm
_0341_,3.61µm
_0254_,3.59µm
_0318_,3.59µm
_0330_,3.59µm
_0347_,3.59µm
_0009_,3.56µm
_0010_,3.56µm
_0048_,3.54µm
_0516_,3.54µm
_0517_,3.54µm
mid_8\[4\],3.54µm
part2_7\[13\],3.54µm
part2_7\[15\],3.54µm
part2_8\[15\],3.54µm
pp2\[6\]\[1\],3.54µm
sum_9\[14\],3.54µm
net119,3.54µm
net123,3.54µm
net125,3.54µm
net156,3.54µm
net172,3.54µm
net207,3.54µm
_0185_,3.49µm
_0304_,3.49µm
net79,3.44µm
_0174_,3.42µm
_0278_,3.42µm
_0390_,3.42µm
_0128_,3.385µm
net124,3.385µm
net205,3.385µm
_0156_,3.3µm
_0302_,3.3µm
_0166_,3.23µm
_0237_,3.23µm
_0297_,3.23µm
_0373_,3.23µm
_0077_,3.225µm
part0_7\[0\],3.22µm
part1_6\[9\],3.22µm
part2_7\[10\],3.22µm
pp2\[1\]\[0\],3.22µm
pp2\[4\]\[0\],3.22µm
pp2\[7\]\[0\],3.22µm
pp3\[0\]\[0\],3.22µm
sum_9\[3\],3.22µm
sum_9\[9\],3.22µm
net216,3.22µm
_0003_,3.2µm
_0032_,3.2µm
_0095_,3.2µm
net138,3.2µm
net151,3.2µm
_0151_,3.18µm
_0350_,3.18µm
_0245_,3.15µm
_0033_,3.1µm
_0087_,3.1µm
_0424_,3.1µm
_0025_,3.08µm
_0436_,3.08µm
_0443_,3.08µm
_0463_,3.08µm
g2_4\[5\],3.08µm
mid_8\[5\],3.08µm
part0_6\[2\],3.08µm
pp2\[6\]\[2\],3.08µm
net141,3.08µm
net188,3.08µm
net226,3.08µm
net232,3.08µm
_0164_,3.06µm
_0281_,3.03µm
_0307_,3.03µm
_0222_,2.96µm
_0571_,2.96µm
_0618_,2.96µm
net85,2.96µm
_0014_,2.84µm
_0020_,2.84µm
_0170_,2.84µm
_0176_,2.84µm
_0183_,2.84µm
_0204_,2.84µm
_0209_,2.84µm
_0239_,2.84µm
_0267_,2.84µm
_0286_,2.84µm
_0298_,2.84µm
_0301_,2.84µm
_0303_,2.84µm
_0312_,2.84µm
_0314_,2.84µm
_0338_,2.84µm
_0342_,2.84µm
_0362_,2.84µm
_0367_,2.84µm
_0371_,2.84µm
_0386_,2.84µm
net15,2.84µm
net136,2.84µm
net197,2.84µm
net212,2.84µm
_0155_,2.77µm
_0229_,2.77µm
_0257_,2.77µm
net222,2.765µm
_0005_,2.76µm
_0018_,2.76µm
_0023_,2.76µm
_0079_,2.76µm
_0480_,2.76µm
g1_4\[4\],2.76µm
part0_6\[6\],2.76µm
_0006_,2.74µm
_0066_,2.74µm
_0107_,2.74µm
_0306_,2.74µm
_0328_,2.74µm
_0333_,2.74µm
net10,2.74µm
net166,2.74µm
net194,2.74µm
net208,2.74µm
_0460_,2.72µm
_0288_,2.69µm
_0289_,2.69µm
_0327_,2.69µm
_0461_,2.64µm
net11,2.64µm
net80,2.64µm
_0090_,2.62µm
_0153_,2.62µm
_0216_,2.62µm
_0230_,2.62µm
_0258_,2.62µm
_0268_,2.62µm
_0519_,2.62µm
_0555_,2.62µm
part0_6\[7\],2.62µm
pp2\[4\]\[2\],2.62µm
pp2\[5\]\[0\],2.62µm
net98,2.62µm
net117,2.62µm
net155,2.62µm
net220,2.62µm
_0221_,2.5µm
_0232_,2.5µm
_0415_,2.5µm
_0489_,2.5µm
_0509_,2.5µm
_0539_,2.5µm
_0592_,2.5µm
_0613_,2.5µm
net24,2.5µm
_0142_,2.38µm
_0152_,2.38µm
_0160_,2.38µm
_0162_,2.38µm
_0171_,2.38µm
_0223_,2.38µm
_0251_,2.38µm
_0315_,2.38µm
_0316_,2.38µm
_0343_,2.38µm
_0365_,2.38µm
net127,2.38µm
net184,2.305µm
_0072_,2.3µm
_0081_,2.3µm
_0104_,2.3µm
_0116_,2.3µm
_0518_,2.3µm
pp2\[2\]\[0\],2.3µm
net174,2.3µm
net192,2.3µm
net195,2.3µm
_0004_,2.28µm
_0029_,2.28µm
_0119_,2.28µm
_0139_,2.28µm
_0161_,2.28µm
_0175_,2.28µm
_0211_,2.28µm
_0369_,2.28µm
net134,2.28µm
_0131_,2.23µm
_0133_,2.23µm
_0154_,2.23µm
_0181_,2.23µm
_0189_,2.23µm
_0198_,2.23µm
_0202_,2.23µm
_0203_,2.23µm
_0205_,2.23µm
_0214_,2.23µm
_0215_,2.23µm
_0233_,2.23µm
_0235_,2.23µm
_0242_,2.23µm
_0247_,2.23µm
_0250_,2.23µm
_0256_,2.23µm
_0259_,2.23µm
_0260_,2.23µm
_0272_,2.23µm
_0275_,2.23µm
_0287_,2.23µm
_0293_,2.23µm
_0294_,2.23µm
_0305_,2.23µm
_0308_,2.23µm
_0309_,2.23µm
_0319_,2.23µm
_0322_,2.23µm
_0329_,2.23µm
_0035_,2.18µm
_0073_,2.18µm
_0465_,2.18µm
_0520_,2.18µm
net152,2.18µm
net225,2.18µm
_0022_,2.16µm
_0060_,2.16µm
_0063_,2.16µm
_0103_,2.16µm
_0120_,2.16µm
_0129_,2.16µm
_0188_,2.16µm
_0276_,2.16µm
_0277_,2.16µm
_0279_,2.16µm
_0346_,2.16µm
_0348_,2.16µm
_0394_,2.16µm
_0410_,2.16µm
_0442_,2.16µm
_0478_,2.16µm
_0601_,2.16µm
_0636_,2.16µm
part1_6\[4\],2.16µm
pp3\[5\]\[3\],2.16µm
net69,2.16µm
net73,2.16µm
net91,2.16µm
net105,2.16µm
net116,2.16µm
net161,2.16µm
net170,2.16µm
net175,2.16µm
net211,2.16µm
net219,2.16µm
_0604_,2.06µm
_0607_,2.06µm
_0635_,2.06µm
_0172_,2.04µm
_0187_,2.04µm
_0201_,2.04µm
_0210_,2.04µm
_0226_,2.04µm
_0311_,2.04µm
_0313_,2.04µm
_0326_,2.04µm
_0340_,2.04µm
_0345_,2.04µm
_0366_,2.04µm
_0374_,2.04µm
_0419_,2.04µm
_0446_,2.04µm
_0492_,2.04µm
net20,2.04µm
net21,2.04µm
net22,2.04µm
net23,2.04µm
net33,2.04µm
net199,2.04µm
net140,1.845µm
_0021_,1.84µm
_0028_,1.84µm
_0528_,1.84µm
g2_4\[2\],1.84µm
net150,1.84µm
net187,1.84µm
net201,1.84µm
net210,1.84µm
_0002_,1.82µm
_0008_,1.82µm
_0123_,1.82µm
_0137_,1.82µm
_0140_,1.82µm
_0177_,1.82µm
_0179_,1.82µm
_0180_,1.82µm
_0190_,1.82µm
_0191_,1.82µm
_0213_,1.82µm
_0234_,1.82µm
_0240_,1.82µm
_0263_,1.82µm
_0271_,1.82µm
_0273_,1.82µm
_0282_,1.82µm
_0317_,1.82µm
_0321_,1.82µm
_0334_,1.82µm
_0339_,1.82µm
_0360_,1.82µm
net120,1.82µm
net167,1.82µm
_0197_,1.75µm
_0220_,1.75µm
_0224_,1.75µm
_0241_,1.75µm
_0430_,1.72µm
_0450_,1.72µm
net97,1.72µm
net230,1.72µm
_0001_,1.7µm
_0111_,1.7µm
_0143_,1.7µm
_0225_,1.7µm
_0249_,1.7µm
_0292_,1.7µm
_0296_,1.7µm
_0323_,1.7µm
mid_8\[2\],1.7µm
net3,1.7µm
net28,1.7µm
net29,1.7µm
net71,1.7µm
net131,1.7µm
net139,1.7µm
net149,1.7µm
net158,1.7µm
net159,1.7µm
net165,1.7µm
net168,1.7µm
_0122_,1.545µm
_0395_,1.38µm
_0440_,1.38µm
_0484_,1.38µm
_0493_,1.38µm
g1_4\[1\],1.38µm
part0_6\[4\],1.38µm
part0_7\[1\],1.38µm
pp2\[3\]\[2\],1.38µm
pp2\[5\]\[2\],1.38µm
sum_9\[13\],1.38µm
net99,1.38µm
net100,1.38µm
net112,1.38µm
net113,1.38µm
net218,1.38µm
_0135_,1.36µm
_0145_,1.36µm
_0146_,1.36µm
_0159_,1.36µm
_0169_,1.36µm
_0178_,1.36µm
_0182_,1.36µm
_0194_,1.36µm
_0199_,1.36µm
_0200_,1.36µm
_0243_,1.36µm
_0244_,1.36µm
_0270_,1.36µm
_0274_,1.36µm
_0295_,1.36µm
_0299_,1.36µm
_0310_,1.36µm
_0325_,1.36µm
_0351_,1.36µm
_0353_,1.36µm
_0356_,1.36µm
_0357_,1.36µm
_0358_,1.36µm
_0364_,1.36µm
net137,1.36µm
net162,1.36µm
net171,1.36µm
net173,1.36µm
net193,1.36µm
_0421_,1.26µm
pp3\[12\]\[0\],1.26µm
_0473_,0.92µm
g2_4\[4\],0.92µm
g2_5\[1\],0.92µm
g4_5\[1\],0.92µm
mid_8\[0\],0.92µm
pp2\[2\]\[3\],0.92µm
pp2\[4\]\[1\],0.92µm
pp2\[7\]\[1\],0.92µm
sum_9\[11\],0.92µm
sum_9\[7\],0.92µm
_0435_,0.46µm
_0596_,0.46µm
pp2\[0\]\[3\],0.46µm
pp2\[1\]\[3\],0.46µm
pp2\[2\]\[2\],0.46µm
pp2\[5\]\[1\],0.46µm
pp2\[6\]\[0\],0.46µm
sum_9\[4\],0.46µm
sum_9\[5\],0.46µm
net107,0.46µm
net115,0.46µm
net229,0.46µm
