net,length_um
_361_,5.72µm
_350_,5.7µm
_324_,5.68µm
b[1],5.63µm
_165_,5.62µm
_272_,5.62µm
_320_,5.62µm
_298_,5.6µm
net5,5.56µm
a[2],5.53µm
product[12],5.53µm
product[9],5.53µm
_286_,5.52µm
_218_,5.48µm
_292_,5.48µm
_308_,5.48µm
_378_,5.48µm
_034_,5.4µm
_043_,5.4µm
_138_,5.4µm
_135_,5.38µm
_312_,5.38µm
_334_,5.38µm
middle_sum\[4\],5.38µm
_260_,5.36µm
_075_,5.33µm
_223_,5.26µm
_275_,5.22µm
_327_,5.215µm
product[13],5.19µm
_214_,5.14µm
pp3\[0\],5.14µm
_204_,5.12µm
_157_,5.06µm
_029_,5.04µm
_170_,5.02µm
_267_,5.02µm
_282_,5.02µm
b[4],4.95µm
_197_,4.92µm
_321_,4.92µm
_376_,4.92µm
_242_,4.9µm
_247_,4.9µm
product[11],4.85µm
_033_,4.82µm
_003_,4.8µm
_078_,4.76µm
net23,4.76µm
net29,4.76µm
net33,4.76µm
_117_,4.68µm
_263_,4.68µm
_105_,4.61µm
a[3],4.61µm
net68,4.58µm
pp0\[7\],4.56µm
net15,4.54µm
_074_,4.53µm
_017_,4.48µm
_020_,4.48µm
_231_,4.48µm
_027_,4.46µm
_216_,4.46µm
_280_,4.46µm
net9,4.46µm
_278_,4.42µm
_140_,4.36µm
_192_,4.34µm
_162_,4.14µm
_293_,4.14µm
_036_,4.12µm
net69,4.12µm
_009_,4.1µm
_279_,4.1µm
_281_,4.1µm
middle_sum\[1\],4.1µm
_004_,4.045µm
_253_,4.02µm
_261_,4µm
_368_,3.98µm
rst,3.93µm
_243_,3.9µm
_198_,3.885µm
_209_,3.88µm
_257_,3.88µm
_287_,3.88µm
_365_,3.88µm
net26,3.88µm
_082_,3.76µm
_213_,3.76µm
middle_sum\[3\],3.76µm
_106_,3.69µm
_025_,3.685µm
_032_,3.68µm
_018_,3.66µm
_084_,3.59µm
_038_,3.585µm
_046_,3.54µm
_273_,3.54µm
pp3\[7\],3.44µm
_130_,3.42µm
_191_,3.42µm
_336_,3.42µm
_370_,3.42µm
_380_,3.32µm
_116_,3.3µm
_311_,3.3µm
_000_,3.22µm
_187_,3.22µm
_026_,3.2µm
_102_,3.13µm
_180_,3.1µm
_212_,3.1µm
_269_,3.1µm
_303_,3.1µm
_351_,3.1µm
net3,3.1µm
_199_,3.08µm
_323_,3.08µm
net1,3.08µm
_124_,2.96µm
_246_,2.96µm
_331_,2.96µm
net25,2.96µm
net73,2.96µm
_172_,2.86µm
_052_,2.84µm
_054_,2.84µm
_058_,2.84µm
_059_,2.84µm
_062_,2.84µm
_063_,2.84µm
_064_,2.84µm
_065_,2.84µm
_070_,2.84µm
_089_,2.84µm
_120_,2.84µm
_121_,2.84µm
_122_,2.84µm
net10,2.84µm
pp0\[3\],2.76µm
_325_,2.72µm
_072_,2.69µm
_081_,2.69µm
_086_,2.69µm
_100_,2.69µm
_107_,2.69µm
_265_,2.64µm
net13,2.64µm
_137_,2.62µm
_176_,2.62µm
_193_,2.62µm
_232_,2.62µm
_366_,2.62µm
pp1\[7\],2.62µm
net24,2.5µm
net72,2.5µm
_340_,2.4µm
_053_,2.38µm
_069_,2.38µm
_094_,2.38µm
_108_,2.38µm
_118_,2.38µm
_067_,2.23µm
_068_,2.23µm
_071_,2.23µm
_073_,2.23µm
_079_,2.23µm
_080_,2.23µm
_083_,2.23µm
_085_,2.23µm
_088_,2.23µm
_092_,2.23µm
_093_,2.23µm
_095_,2.23µm
_096_,2.23µm
_097_,2.23µm
_101_,2.23µm
_103_,2.23µm
_111_,2.23µm
_112_,2.23µm
_114_,2.23µm
_123_,2.23µm
_055_,2.21µm
_056_,2.21µm
_057_,2.21µm
_060_,2.21µm
_291_,2.18µm
_010_,2.16µm
_077_,2.16µm
_115_,2.16µm
_163_,2.16µm
_309_,2.16µm
_313_,2.16µm
_381_,2.16µm
net7,2.16µm
net16,2.16µm
_146_,2.06µm
_151_,2.06µm
_169_,2.04µm
_179_,2.04µm
_297_,2.04µm
_358_,2.04µm
_379_,2.04µm
net18,2.04µm
net19,2.04µm
net20,2.04µm
net21,2.04µm
net22,2.04µm
net27,2.04µm
net31,2.04µm
_210_,1.84µm
_363_,1.84µm
_374_,1.84µm
_061_,1.82µm
_066_,1.82µm
_076_,1.82µm
_090_,1.82µm
_104_,1.82µm
_110_,1.82µm
net11,1.82µm
net71,1.82µm
_109_,1.75µm
_277_,1.72µm
_300_,1.7µm
_302_,1.7µm
_328_,1.7µm
_349_,1.7µm
net30,1.7µm
pp0\[1\],1.6µm
net12,1.545µm
_296_,1.38µm
_091_,1.36µm
_099_,1.36µm
_113_,1.36µm
_119_,1.36µm
net6,1.36µm
_144_,1.26µm
_372_,1.26µm
pp0\[2\],0.92µm
