net,length_um
clknet_0_clk,304.76µm
net59,207.58µm
a2\[1\],145.685µm
a2\[0\],131.91µm
net48,130.31µm
a3\[1\],124.195µm
net47,121.02µm
net34,119.65µm
net35,119.48µm
clk,117.15µm
net44,113.53µm
a3\[0\],106.61µm
b0\[0\],104.925µm
b1\[0\],102.97µm
b3\[0\],102.6µm
net37,99.065µm
b0\[1\],97.81µm
clknet_4_3_0_clk,96.84µm
a1\[0\],96.5µm
net51,94.94µm
clknet_4_9_0_clk,94.66µm
clknet_4_8_0_clk,94.28µm
net49,93.94µm
clknet_4_15_0_clk,93.82µm
net50,93.14µm
net58,92.92µm
net46,92.26µm
clknet_4_0_0_clk,91.1µm
clknet_4_7_0_clk,90.24µm
clknet_4_13_0_clk,89.84µm
a1\[1\],89.54µm
net36,86.835µm
clknet_4_1_0_clk,85.3µm
b2\[0\],84.3µm
clknet_4_5_0_clk,82.8µm
net38,80.56µm
net45,80µm
clknet_4_4_0_clk,78.66µm
clknet_4_14_0_clk,76.24µm
net57,76.06µm
a0\[0\],74.2µm
net53,74.18µm
net42,72.8µm
net41,72.64µm
net56,71.86µm
net55,71.08µm
clknet_4_2_0_clk,70.8µm
net43,69.73µm
net39,69.28µm
clknet_4_6_0_clk,68.88µm
net52,68.14µm
clknet_4_10_0_clk,62.75µm
clknet_4_12_0_clk,61.93µm
net54,60.3µm
b3\[1\],59.5µm
a0\[1\],47.26µm
clknet_4_11_0_clk,45.98µm
net40,44.06µm
pp\[2\]\[2\],42.38µm
_0345_,41.56µm
net123,37.24µm
pp\[14\]\[1\],36.92µm
pp\[0\]\[3\],36.84µm
_0019_,34.88µm
b1\[1\],33.37µm
pp\[0\]\[2\],33.32µm
pp\[2\]\[0\],33.3µm
_0318_,32.58µm
_0370_,31.32µm
_0043_,30.78µm
pp\[2\]\[3\],28.5µm
_0310_,28.44µm
_0282_,28.02µm
_0055_,28µm
_0281_,27.44µm
_0376_,27.42µm
_0288_,26.08µm
_0307_,26.03µm
_0020_,25.725µm
_0326_,25.56µm
b2\[1\],25.4µm
_0098_,24.6µm
_0331_,24.34µm
_0287_,24.14µm
pp\[14\]\[0\],24.02µm
_0051_,23.82µm
_0308_,23.02µm
_0032_,22.28µm
_0315_,22.08µm
_0426_,21.68µm
_0046_,21.5µm
_0309_,21.42µm
_0031_,20.52µm
pp\[14\]\[3\],20.38µm
pp\[7\]\[3\],20.36µm
