net,length_um
_0436_,20.26µm
_0054_,20.08µm
_0335_,19.4µm
_0045_,19.16µm
_0334_,19.04µm
_0392_,18.74µm
pp\[9\]\[0\],18.4µm
_0305_,18.36µm
pp\[11\]\[0\],18.12µm
_0432_,17.88µm
_0338_,17.82µm
_0000_,17.66µm
_0075_,17.36µm
_0412_,17.3µm
pp\[11\]\[1\],17.26µm
pp\[5\]\[2\],17.18µm
_0062_,17.16µm
pp\[1\]\[0\],17.1µm
_0042_,17.06µm
_0443_,17.04µm
pp\[2\]\[1\],16.98µm
_0361_,16.96µm
_0323_,16.86µm
_0330_,16.78µm
g2\[5\],16.56µm
pp\[1\]\[3\],16.52µm
_0329_,16.18µm
net126,16.14µm
_0100_,16.12µm
low_sum\[8\],16.08µm
net122,15.88µm
_0339_,15.76µm
_0285_,15.52µm
net12,15.46µm
net113,15.24µm
_0427_,15.2µm
pp\[14\]\[2\],15.1µm
_0344_,15.02µm
_0074_,14.98µm
_0360_,14.9µm
_0059_,14.86µm
_0362_,14.86µm
_0070_,14.82µm
high_sum\[12\],14.74µm
_0204_,14.67µm
_0408_,14.64µm
_0067_,14.6µm
_0317_,14.52µm
high_sum\[8\],14.4µm
_0391_,14.38µm
pp\[4\]\[0\],14.36µm
_0105_,14.22µm
_0336_,13.88µm
pp\[6\]\[0\],13.88µm
_0359_,13.82µm
_0371_,13.76µm
_0080_,13.7µm
pp\[5\]\[0\],13.64µm
pp\[6\]\[3\],13.6µm
pp\[13\]\[1\],13.56µm
pp\[10\]\[2\],13.54µm
pp\[10\]\[3\],13.54µm
pp\[10\]\[0\],13.42µm
_0039_,13.34µm
g5\[2\],13.12µm
final_sum\[15\],12.9µm
_0403_,12.88µm
_0189_,12.8µm
_0442_,12.68µm
_0022_,12.64µm
_0389_,12.62µm
pp\[3\]\[0\],12.62µm
_0290_,12.6µm
_0035_,12.56µm
_0050_,12.56µm
_0284_,12.52µm
_0072_,12.42µm
pp\[5\]\[3\],12.38µm
_0379_,12.3µm
_0421_,12.18µm
_0162_,12.17µm
_0109_,12.08µm
_0424_,12µm
_0216_,11.97µm
_0409_,11.9µm
pp\[7\]\[2\],11.84µm
g1\[1\],11.82µm
_0129_,11.77µm
product[1],11.72µm
_0411_,11.68µm
_0328_,11.64µm
_0430_,11.58µm
_0422_,11.54µm
_0369_,11.52µm
final_sum\[1\],11.36µm
_0292_,11.34µm
pp\[7\]\[1\],11.32µm
_0316_,11.24µm
low_sum\[9\],11.24µm
_0314_,11.22µm
_0440_,11.16µm
_0358_,11.06µm
product[15],11µm
a[1],10.99µm
_0363_,10.96µm
_0405_,10.96µm
high_sum\[14\],10.86µm
_0406_,10.84µm
_0061_,10.78µm
net17,10.78µm
_0419_,10.7µm
_0303_,10.62µm
pp\[11\]\[2\],10.62µm
_0180_,10.59µm
low_sum\[11\],10.58µm
product[14],10.54µm
_0013_,10.52µm
_0374_,10.46µm
pp\[15\]\[2\],10.42µm
_0102_,10.36µm
pp\[3\]\[1\],10.28µm
_0088_,10.24µm
high_sum\[10\],10.16µm
_0380_,10.08µm
_0365_,9.98µm
_0381_,9.96µm
pp\[9\]\[1\],9.94µm
_0351_,9.86µm
_0024_,9.84µm
_0113_,9.74µm
_0302_,9.62µm
_0065_,9.6µm
pp\[11\]\[3\],9.58µm
pp\[7\]\[0\],9.58µm
_0296_,9.52µm
_0063_,9.46µm
_0161_,9.45µm
_0384_,9.4µm
_0101_,9.38µm
_0387_,9.34µm
_0322_,9.32µm
b[5],9.31µm
_0417_,9.27µm
_0069_,9.24µm
_0299_,9.08µm
g4\[5\],9.08µm
pp\[6\]\[2\],9.06µm
_0089_,9.02µm
_0192_,8.99µm
product[2],8.96µm
product[3],8.96µm
_0429_,8.94µm
pp\[3\]\[3\],8.94µm
_0071_,8.92µm
_0416_,8.88µm
g2\[4\],8.86µm
_0366_,8.84µm
pp\[3\]\[2\],8.84µm
_0066_,8.78µm
_0226_,8.76µm
_0214_,8.75µm
_0015_,8.74µm
_0401_,8.74µm
_0353_,8.72µm
_0402_,8.72µm
b[2],8.72µm
a[0],8.69µm
_0283_,8.6µm
g4\[1\],8.6µm
product[0],8.5µm
_0300_,8.48µm
_0087_,8.32µm
_0445_,8.32µm
_0156_,8.28µm
_0235_,8.28µm
a[6],8.25µm
_0008_,8.2µm
_0085_,8.18µm
_0095_,8.18µm
g2\[0\],8.18µm
g5\[0\],8.18µm
_0010_,8.14µm
_0321_,8.12µm
_0355_,8.12µm
_0375_,8.12µm
_0394_,8.1µm
_0276_,8.08µm
g3\[5\],8.06µm
_0274_,8.04µm
net25,7.98µm
_0273_,7.9µm
_0386_,7.9µm
_0395_,7.9µm
pp\[13\]\[3\],7.9µm
_0251_,7.83µm
final_sum\[3\],7.82µm
net71,7.82µm
_0278_,7.78µm
_0320_,7.78µm
_0348_,7.78µm
net73,7.76µm
_0150_,7.73µm
_0017_,7.7µm
_0094_,7.64µm
high_sum\[9\],7.64µm
pp\[8\]\[1\],7.52µm
pp\[4\]\[3\],7.46µm
_0112_,7.44µm
_0167_,7.44µm
_0076_,7.34µm
_0073_,7.32µm
_0352_,7.32µm
_0048_,7.3µm
_0423_,7.28µm
g5\[1\],7.26µm
_0060_,7.24µm
_0083_,7.24µm
low_sum\[2\],7.24µm
_0439_,7.18µm
final_sum\[9\],7.18µm
pp\[12\]\[2\],7.18µm
net20,7.18µm
net109,7.18µm
net118,7.18µm
net86,7.14µm
_0333_,7.12µm
_0209_,7.11µm
_0058_,7.04µm
_0434_,6.98µm
_0191_,6.94µm
_0006_,6.9µm
_0208_,6.87µm
pp\[6\]\[1\],6.86µm
pp\[9\]\[3\],6.86µm
_0047_,6.84µm
_0002_,6.78µm
_0188_,6.77µm
_0240_,6.77µm
_0382_,6.76µm
_0393_,6.72µm
_0407_,6.72µm
_0441_,6.72µm
net62,6.72µm
_0160_,6.71µm
a[5],6.67µm
g4\[0\],6.66µm
_0301_,6.64µm
_0337_,6.64µm
_0414_,6.58µm
_0420_,6.54µm
_0139_,6.48µm
net114,6.48µm
g1\[4\],6.46µm
_0077_,6.44µm
_0286_,6.42µm
_0177_,6.35µm
_0201_,6.35µm
b[3],6.33µm
_0018_,6.32µm
high_sum\[13\],6.32µm
a[4],6.31µm
b[1],6.31µm
_0011_,6.3µm
_0057_,6.3µm
_0385_,6.3µm
net76,6.3µm
net79,6.3µm
net80,6.3µm
net81,6.3µm
net82,6.3µm
net83,6.3µm
net100,6.3µm
_0354_,6.28µm
product[4],6.23µm
product[7],6.21µm
_0312_,6.2µm
_0325_,6.2µm
_0399_,6.18µm
net18,6.18µm
_0275_,6.16µm
_0404_,6.16µm
pp\[8\]\[2\],6.14µm
product[10],6.09µm
g4\[4\],6.04µm
_0034_,6.025µm
_0097_,6.02µm
_0190_,6.02µm
_0033_,5.985µm
a[2],5.97µm
b[7],5.97µm
_0388_,5.96µm
_0093_,5.94µm
_0397_,5.94µm
_0446_,5.94µm
_0145_,5.91µm
_0016_,5.86µm
_0021_,5.86µm
pp\[10\]\[1\],5.86µm
pp\[1\]\[2\],5.86µm
_0128_,5.85µm
_0194_,5.85µm
g1\[2\],5.84µm
_0378_,5.82µm
_0001_,5.8µm
_0029_,5.8µm
_0372_,5.8µm
g1\[0\],5.8µm
g4\[3\],5.8µm
g5\[3\],5.8µm
product[11],5.75µm
_0291_,5.74µm
_0341_,5.74µm
pp\[8\]\[3\],5.74µm
_0197_,5.73µm
net124,5.72µm
net84,5.685µm
_0023_,5.68µm
_0254_,5.68µm
_0398_,5.6µm
_0213_,5.56µm
net1,5.56µm
_0400_,5.46µm
net103,5.46µm
_0298_,5.4µm
net65,5.38µm
_0342_,5.34µm
_0356_,5.34µm
pp\[15\]\[3\],5.34µm
_0206_,5.33µm
_0222_,5.29µm
a[3],5.29µm
a[7],5.29µm
_0297_,5.28µm
_0368_,5.26µm
_0438_,5.26µm
_0084_,5.24µm
_0293_,5.24µm
_0141_,5.17µm
_0053_,5.14µm
_0444_,5.14µm
_0221_,5.1µm
_0118_,5.07µm
_0119_,5.07µm
_0125_,5.07µm
_0099_,5.06µm
_0086_,5.04µm
_0175_,5.04µm
pp\[4\]\[2\],5.04µm
pp\[12\]\[0\],5.02µm
g2\[1\],5µm
net88,5µm
net99,5µm
_0186_,4.99µm
_0137_,4.97µm
b[0],4.95µm
_0265_,4.93µm
_0044_,4.92µm
_0271_,4.9µm
_0295_,4.9µm
_0212_,4.88µm
_0390_,4.88µm
_0428_,4.88µm
product[13],4.85µm
product[9],4.85µm
_0247_,4.8µm
net19,4.8µm
net21,4.8µm
net29,4.8µm
net30,4.8µm
pp\[1\]\[1\],4.78µm
pp\[9\]\[2\],4.78µm
net23,4.76µm
_0117_,4.73µm
_0136_,4.73µm
_0244_,4.73µm
product[6],4.73µm
product[8],4.73µm
pp\[5\]\[1\],4.68µm
_0038_,4.66µm
_0133_,4.61µm
b[4],4.61µm
b[6],4.61µm
_0157_,4.58µm
high_sum\[11\],4.56µm
_0199_,4.54µm
_0124_,4.53µm
_0262_,4.53µm
_0081_,4.48µm
_0082_,4.48µm
g3\[4\],4.46µm
low_sum\[1\],4.46µm
low_sum\[3\],4.46µm
pp\[0\]\[1\],4.46µm
pp\[12\]\[1\],4.46µm
net32,4.46µm
net63,4.46µm
net68,4.46µm
_0410_,4.44µm
_0413_,4.44µm
product[12],4.39µm
product[5],4.39µm
low_sum\[10\],4.36µm
_0056_,4.34µm
_0261_,4.34µm
_0324_,4.34µm
net120,4.34µm
pp\[13\]\[0\],4.22µm
net27,4.22µm
_0357_,4.21µm
pp\[13\]\[2\],4.2µm
_0319_,4.18µm
_0143_,4.15µm
_0313_,4.14µm
net67,4.12µm
net70,4.12µm
_0207_,4.1µm
_0279_,4.1µm
_0373_,4.08µm
_0165_,4.05µm
_0169_,4.05µm
_0242_,4.05µm
_0383_,4.02µm
pp\[12\]\[3\],4.02µm
_0377_,4µm
net60,4µm
net92,4µm
net94,4µm
net110,4µm
rst,3.93µm
_0014_,3.88µm
_0263_,3.88µm
_0264_,3.88µm
g3\[1\],3.88µm
net2,3.805µm
_0243_,3.76µm
pp\[8\]\[0\],3.76µm
net14,3.76µm
_0174_,3.69µm
_0052_,3.68µm
_0092_,3.68µm
_0037_,3.66µm
_0064_,3.66µm
_0091_,3.66µm
net90,3.66µm
net91,3.66µm
_0253_,3.64µm
_0280_,3.64µm
_0187_,3.59µm
_0003_,3.56µm
_0350_,3.56µm
_0068_,3.54µm
_0294_,3.54µm
_0340_,3.54µm
_0347_,3.54µm
_0437_,3.54µm
low_sum\[6\],3.54µm
low_sum\[7\],3.54µm
net66,3.54µm
net72,3.54µm
net75,3.54µm
_0245_,3.52µm
pp\[4\]\[1\],3.52µm
_0415_,3.5µm
_0005_,3.44µm
_0026_,3.44µm
_0127_,3.42µm
_0232_,3.42µm
_0367_,3.42µm
_0418_,3.42µm
_0433_,3.42µm
net26,3.42µm
net97,3.42µm
net96,3.385µm
_0115_,3.3µm
_0289_,3.3µm
net115,3.3µm
_0195_,3.23µm
_0049_,3.225µm
_0025_,3.22µm
_0027_,3.22µm
final_sum\[10\],3.22µm
final_sum\[11\],3.22µm
final_sum\[12\],3.22µm
final_sum\[4\],3.22µm
final_sum\[5\],3.22µm
final_sum\[6\],3.22µm
final_sum\[8\],3.22µm
low_sum\[0\],3.22µm
low_sum\[4\],3.22µm
pp\[0\]\[0\],3.22µm
pp\[15\]\[1\],3.22µm
_0028_,3.2µm
_0304_,3.2µm
_0431_,3.2µm
net74,3.2µm
_0249_,3.18µm
_0121_,3.13µm
_0181_,3.13µm
_0009_,3.08µm
_0130_,3.08µm
final_sum\[2\],3.08µm
g3\[3\],3.08µm
g4\[2\],3.08µm
net69,3.08µm
net77,3.08µm
net119,3.08µm
_0168_,3.03µm
_0217_,2.96µm
_0266_,2.96µm
_0306_,2.96µm
_0364_,2.96µm
_0435_,2.96µm
net93,2.96µm
_0041_,2.84µm
_0107_,2.84µm
_0122_,2.84µm
_0126_,2.84µm
_0132_,2.84µm
_0155_,2.84µm
_0220_,2.84µm
_0227_,2.84µm
_0233_,2.84µm
_0236_,2.84µm
_0246_,2.84µm
_0267_,2.84µm
net5,2.84µm
net61,2.84µm
_0250_,2.77µm
_0004_,2.76µm
_0007_,2.76µm
net106,2.76µm
_0096_,2.74µm
net4,2.74µm
net102,2.74µm
net111,2.74µm
_0193_,2.72µm
_0123_,2.69µm
_0144_,2.69µm
_0164_,2.69µm
_0183_,2.69µm
_0184_,2.69µm
_0231_,2.69µm
_0257_,2.69µm
_0170_,2.67µm
_0248_,2.67µm
_0090_,2.64µm
_0332_,2.64µm
_0396_,2.64µm
_0106_,2.62µm
_0111_,2.62µm
_0120_,2.62µm
_0196_,2.62µm
g2\[3\],2.62µm
g3\[0\],2.62µm
net104,2.62µm
net117,2.62µm
_0146_,2.5µm
_0166_,2.5µm
_0252_,2.5µm
_0346_,2.5µm
net24,2.5µm
_0131_,2.38µm
_0147_,2.38µm
_0154_,2.38µm
_0200_,2.38µm
_0203_,2.38µm
_0211_,2.38µm
_0229_,2.38µm
_0234_,2.38µm
_0269_,2.38µm
_0270_,2.38µm
_0272_,2.38µm
_0343_,2.38µm
_0425_,2.38µm
net98,2.38µm
_0036_,2.3µm
_0078_,2.3µm
_0108_,2.3µm
_0110_,2.3µm
_0311_,2.3µm
g5\[4\],2.3µm
net89,2.3µm
_0030_,2.28µm
_0103_,2.28µm
_0179_,2.28µm
_0255_,2.28µm
net116,2.28µm
_0116_,2.23µm
_0138_,2.23µm
_0142_,2.23µm
_0148_,2.23µm
_0149_,2.23µm
_0151_,2.23µm
_0153_,2.23µm
_0158_,2.23µm
_0163_,2.23µm
_0171_,2.23µm
_0173_,2.23µm
_0198_,2.23µm
_0210_,2.23µm
_0215_,2.23µm
_0218_,2.23µm
_0224_,2.23µm
_0225_,2.23µm
_0237_,2.23µm
_0256_,2.23µm
_0258_,2.23µm
_0260_,2.23µm
_0205_,2.21µm
net9,2.18µm
_0040_,2.16µm
g2\[2\],2.16µm
net10,2.16µm
net11,2.16µm
net108,2.16µm
_0159_,2.04µm
_0230_,2.04µm
net22,2.04µm
net33,2.04µm
net85,2.04µm
net107,2.04µm
final_sum\[13\],1.84µm
final_sum\[14\],1.84µm
net112,1.84µm
_0079_,1.82µm
_0104_,1.82µm
_0152_,1.82µm
_0176_,1.82µm
_0182_,1.82µm
_0185_,1.82µm
_0238_,1.82µm
_0259_,1.82µm
_0268_,1.82µm
net3,1.82µm
net7,1.82µm
net8,1.82µm
net13,1.82µm
net15,1.82µm
net16,1.82µm
net87,1.82µm
_0228_,1.75µm
_0277_,1.72µm
_0219_,1.7µm
final_sum\[0\],1.7µm
g1\[3\],1.7µm
high_sum\[15\],1.7µm
net31,1.7µm
low_sum\[5\],1.6µm
_0012_,1.38µm
_0349_,1.38µm
g3\[2\],1.38µm
net121,1.38µm
_0114_,1.36µm
_0134_,1.36µm
_0135_,1.36µm
_0140_,1.36µm
_0172_,1.36µm
_0178_,1.36µm
_0202_,1.36µm
_0223_,1.36µm
_0239_,1.36µm
_0241_,1.36µm
net6,1.36µm
net64,1.36µm
net78,1.36µm
net95,1.36µm
net28,1.26µm
pp\[15\]\[0\],0.92µm
_0327_,0.46µm
final_sum\[7\],0.46µm
net101,0.46µm
net105,0.46µm
net125,0.46µm
net127,0.46µm
