Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_53_309,VPWR,li1,149.5000,155.0400,1.799475
FILLER_53_307,VPWR,li1,146.9700,155.0400,1.799475
FILLER_53_301,VPWR,li1,145.3600,155.0400,1.799475
FILLER_53_293,VPWR,li1,141.2200,155.0400,1.799477
FILLER_53_281,VPWR,li1,137.5400,155.0400,1.799481
FILLER_53_277,VPWR,li1,133.6300,155.0400,1.799494
FILLER_53_265,VPWR,li1,130.1800,155.0400,1.799506
FILLER_53_253,VPWR,li1,124.6600,155.0400,1.799524
FILLER_53_249,VPWR,li1,120.7500,155.0400,1.799541
FILLER_53_237,VPWR,li1,117.3000,155.0400,1.799549
FILLER_53_225,VPWR,li1,111.7800,155.0400,1.799567
FILLER_53_221,VPWR,li1,107.8700,155.0400,1.799580
FILLER_53_209,VPWR,li1,104.4200,155.0400,1.799592
FILLER_53_197,VPWR,li1,98.9000,155.0400,1.799610
FILLER_53_193,VPWR,li1,94.9900,155.0400,1.799623
FILLER_53_181,VPWR,li1,91.5400,155.0400,1.799634
FILLER_53_169,VPWR,li1,86.0200,155.0400,1.799653
FILLER_53_165,VPWR,li1,82.1100,155.0400,1.799672
FILLER_53_153,VPWR,li1,78.6600,155.0400,1.799679
FILLER_53_141,VPWR,li1,73.1400,155.0400,1.799701
FILLER_53_137,VPWR,li1,69.2300,155.0400,1.799722
FILLER_53_125,VPWR,li1,65.7800,155.0400,1.799731
FILLER_53_113,VPWR,li1,60.2600,155.0400,1.799753
FILLER_53_109,VPWR,li1,56.3500,155.0400,1.799769
FILLER_53_97,VPWR,li1,52.9000,155.0400,1.799783
FILLER_53_85,VPWR,li1,47.3800,155.0400,1.799805
FILLER_53_83,VPWR,li1,43.9300,155.0400,1.799826
FILLER_53_77,VPWR,li1,42.3200,155.0400,1.799826
FILLER_53_65,VPWR,li1,38.1800,155.0400,1.799846
FILLER_53_55,VPWR,li1,31.0500,155.0400,1.799883
FILLER_53_49,VPWR,li1,28.7500,155.0400,1.799897
FILLER_53_41,VPWR,li1,26.2200,155.0400,1.799912
FILLER_53_29,VPWR,li1,21.6200,155.0400,1.799940
FILLER_53_27,VPWR,li1,18.1700,155.0400,1.799940
FILLER_53_15,VPWR,li1,15.1800,155.0400,1.799940
FILLER_53_3,VPWR,li1,9.6600,155.0400,1.799940
FILLER_52_309,VPWR,li1,149.5000,155.0400,1.799475
FILLER_52_305,VPWR,li1,146.5100,155.0400,1.799475
FILLER_52_297,VPWR,li1,143.9800,155.0400,1.799475
FILLER_52_265,VPWR,li1,130.1800,155.0400,1.799506
FILLER_52_253,VPWR,li1,124.6600,155.0400,1.799524
FILLER_52_251,VPWR,li1,121.2100,155.0400,1.799541
FILLER_52_245,VPWR,li1,119.6000,155.0400,1.799541
FILLER_52_233,VPWR,li1,115.4600,155.0400,1.799555
FILLER_52_221,VPWR,li1,109.9400,155.0400,1.799573
FILLER_52_209,VPWR,li1,104.4200,155.0400,1.799592
FILLER_52_197,VPWR,li1,98.9000,155.0400,1.799610
FILLER_52_193,VPWR,li1,94.9900,155.0400,1.799623
FILLER_52_181,VPWR,li1,91.5400,155.0400,1.799634
FILLER_52_169,VPWR,li1,86.0200,155.0400,1.799653
FILLER_52_160,VPWR,li1,79.3500,155.0400,1.799679
