net,length_um
_095_,5.26µm
_199_,5.26µm
_212_,5.26µm
_172_,5.14µm
_204_,5.14µm
_005_,5.1µm
_016_,5.07µm
_049_,5.02µm
_184_,5.02µm
_140_,5µm
net3,5µm
a[4],4.95µm
b[6],4.95µm
_096_,4.94µm
_301_,4.94µm
_269_,4.92µm
_210_,4.88µm
_119_,4.8µm
_291_,4.8µm
_300_,4.8µm
net19,4.8µm
_156_,4.66µm
a[7],4.61µm
product[3],4.61µm
product[4],4.61µm
product[6],4.61µm
_091_,4.6µm
_311_,4.56µm
_314_,4.56µm
product_reg\[11\],4.54µm
_068_,4.48µm
_235_,4.48µm
_167_,4.46µm
_217_,4.44µm
_144_,4.36µm
_283_,4.36µm
_019_,4.34µm
_271_,4.34µm
_310_,4.34µm
net20,4.34µm
_048_,4.22µm
_223_,4.12µm
net12,4.08µm
_053_,4µm
_200_,4µm
_226_,4µm
_231_,4µm
_262_,4µm
product[5],3.93µm
product[8],3.93µm
_102_,3.9µm
_120_,3.88µm
_159_,3.88µm
net18,3.88µm
net22,3.88µm
_160_,3.76µm
_180_,3.76µm
product_reg\[0\],3.74µm
_108_,3.68µm
product_reg\[1\],3.66µm
_272_,3.655µm
_258_,3.56µm
_146_,3.54µm
_304_,3.54µm
net17,3.54µm
_017_,3.52µm
_138_,3.52µm
_088_,3.42µm
product_reg\[14\],3.42µm
_006_,3.4µm
_009_,3.15µm
_294_,3.1µm
_176_,3.08µm
_198_,3.08µm
_313_,3.08µm
_027_,3.06µm
_018_,2.96µm
_229_,2.96µm
_248_,2.96µm
_295_,2.96µm
net24,2.96µm
net25,2.96µm
net29,2.96µm
net33,2.96µm
net8,2.84µm
_194_,2.675µm
_107_,2.62µm
_132_,2.62µm
_179_,2.62µm
_221_,2.62µm
product_reg\[5\],2.62µm
net27,2.62µm
_039_,2.52µm
_036_,2.5µm
_136_,2.5µm
_282_,2.4µm
_010_,2.38µm
_020_,2.38µm
_021_,2.38µm
_023_,2.38µm
_024_,2.38µm
_028_,2.38µm
_029_,2.38µm
_031_,2.38µm
_145_,2.3µm
product_reg\[3\],2.28µm
_060_,2.24µm
_001_,2.23µm
_004_,2.23µm
_012_,2.23µm
_002_,2.16µm
_247_,2.16µm
_264_,2.16µm
_297_,2.16µm
product_reg\[2\],2.16µm
product_reg\[4\],2.16µm
net13,2.16µm
net14,2.16µm
net15,2.16µm
_007_,2.04µm
_008_,2.04µm
_170_,2.04µm
_195_,2.04µm
_207_,2.04µm
_288_,2.04µm
_211_,1.94µm
_003_,1.82µm
_011_,1.82µm
_130_,1.82µm
_139_,1.82µm
net16,1.82µm
_292_,1.72µm
product_reg\[15\],1.7µm
net11,1.7µm
_100_,1.38µm
_000_,1.36µm
_013_,1.36µm
_025_,1.36µm
_026_,1.36µm
_030_,1.36µm
net6,1.36µm
_056_,1.14µm
_267_,1.14µm
_192_,0.92µm
_066_,0.46µm
