Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_43_253,VPWR,li1,123.7400,127.8400,1.799616
FILLER_43_251,VPWR,li1,121.2100,127.8400,1.799616
FILLER_43_245,VPWR,li1,119.6000,127.8400,1.799616
FILLER_43_238,VPWR,li1,115.6900,127.8400,1.799616
FILLER_43_233,VPWR,li1,112.9300,127.8400,1.799618
FILLER_43_221,VPWR,li1,107.8700,127.8400,1.799624
FILLER_43_209,VPWR,li1,104.4200,127.8400,1.799633
FILLER_43_197,VPWR,li1,98.9000,127.8400,1.799650
FILLER_43_193,VPWR,li1,94.9900,127.8400,1.799657
FILLER_43_181,VPWR,li1,91.5400,127.8400,1.799667
FILLER_43_169,VPWR,li1,86.0200,127.8400,1.799682
FILLER_43_165,VPWR,li1,82.1100,127.8400,1.799693
FILLER_43_153,VPWR,li1,78.6600,127.8400,1.799703
FILLER_43_141,VPWR,li1,73.1400,127.8400,1.799719
FILLER_43_137,VPWR,li1,69.2300,127.8400,1.799730
FILLER_43_125,VPWR,li1,65.7800,127.8400,1.799742
FILLER_43_113,VPWR,li1,60.2600,127.8400,1.799769
FILLER_43_109,VPWR,li1,56.3500,127.8400,1.799780
FILLER_43_97,VPWR,li1,52.9000,127.8400,1.799794
FILLER_43_85,VPWR,li1,47.3800,127.8400,1.799822
FILLER_43_81,VPWR,li1,43.4700,127.8400,1.799834
FILLER_43_69,VPWR,li1,40.0200,127.8400,1.799849
FILLER_43_57,VPWR,li1,34.5000,127.8400,1.799875
FILLER_43_53,VPWR,li1,30.5900,127.8400,1.799895
FILLER_43_41,VPWR,li1,27.1400,127.8400,1.799919
FILLER_43_29,VPWR,li1,21.6200,127.8400,1.799944
FILLER_43_27,VPWR,li1,18.1700,127.8400,1.799944
FILLER_43_15,VPWR,li1,15.1800,127.8400,1.799944
FILLER_43_3,VPWR,li1,9.6600,127.8400,1.799944
FILLER_42_253,VPWR,li1,123.7400,127.8400,1.799616
FILLER_42_246,VPWR,li1,120.0600,127.8400,1.799616
FILLER_42_234,VPWR,li1,115.9200,127.8400,1.799616
FILLER_42_213,VPWR,li1,103.7300,127.8400,1.799637
FILLER_42_209,VPWR,li1,102.5800,127.8400,1.799637
FILLER_42_195,VPWR,li1,95.4500,127.8400,1.799657
FILLER_42_183,VPWR,li1,92.4600,127.8400,1.799667
FILLER_42_170,VPWR,li1,84.1800,127.8400,1.799687
FILLER_42_161,VPWR,li1,79.8100,127.8400,1.799703
FILLER_42_157,VPWR,li1,78.6600,127.8400,1.799703
FILLER_42_119,VPWR,li1,60.4900,127.8400,1.799769
FILLER_42_113,VPWR,li1,58.8800,127.8400,1.799769
FILLER_42_85,VPWR,li1,46.4600,127.8400,1.799822
FILLER_42_72,VPWR,li1,41.4000,127.8400,1.799849
FILLER_42_49,VPWR,li1,28.7500,127.8400,1.799905
FILLER_42_41,VPWR,li1,26.2200,127.8400,1.799919
FILLER_42_29,VPWR,li1,21.6200,127.8400,1.799944
FILLER_42_27,VPWR,li1,18.1700,127.8400,1.799944
FILLER_42_15,VPWR,li1,15.1800,127.8400,1.799944
FILLER_42_3,VPWR,li1,9.6600,127.8400,1.799944
FILLER_41_257,VPWR,li1,124.6600,122.4000,1.798890
FILLER_41_245,VPWR,li1,120.9800,122.4000,1.798890
FILLER_41_189,VPWR,li1,92.6900,122.4000,1.798956
FILLER_41_164,VPWR,li1,81.8800,122.4000,1.799023
FILLER_41_120,VPWR,li1,60.9500,122.4000,1.799231
FILLER_41_97,VPWR,li1,50.3700,122.4000,1.799367
FILLER_41_51,VPWR,li1,29.4400,122.4000,1.799682
FILLER_41_39,VPWR,li1,26.2200,122.4000,1.799737
FILLER_41_27,VPWR,li1,20.7000,122.4000,1.799830
FILLER_41_15,VPWR,li1,15.1800,122.4000,1.799830
FILLER_41_3,VPWR,li1,9.6600,122.4000,1.799830
FILLER_40_253,VPWR,li1,123.7400,122.4000,1.798890
FILLER_40_251,VPWR,li1,121.2100,122.4000,1.798890
FILLER_40_239,VPWR,li1,118.2200,122.4000,1.798890
FILLER_40_222,VPWR,li1,108.3300,122.4000,1.798899
FILLER_40_194,VPWR,li1,95.2200,122.4000,1.798946
FILLER_40_150,VPWR,li1,74.7500,122.4000,1.799098
FILLER_40_144,VPWR,li1,73.1400,122.4000,1.799098
FILLER_40_112,VPWR,li1,58.8800,122.4000,1.799278
FILLER_40_91,VPWR,li1,48.3000,122.4000,1.799415
FILLER_40_53,VPWR,li1,31.7400,122.4000,1.799647
FILLER_40_41,VPWR,li1,27.1400,122.4000,1.799737
FILLER_40_29,VPWR,li1,21.6200,122.4000,1.799830
FILLER_40_27,VPWR,li1,18.1700,122.4000,1.799830
FILLER_40_15,VPWR,li1,15.1800,122.4000,1.799830
FILLER_40_3,VPWR,li1,9.6600,122.4000,1.799830
FILLER_39_237,VPWR,li1,115.4600,116.9600,1.798896
FILLER_39_225,VPWR,li1,111.7800,116.9600,1.798911
FILLER_39_222,VPWR,li1,108.1000,116.9600,1.798930
FILLER_39_210,VPWR,li1,104.8800,116.9600,1.798950
FILLER_39_198,VPWR,li1,99.3600,116.9600,1.798985
FILLER_39_193,VPWR,li1,94.7600,116.9600,1.799014
FILLER_39_181,VPWR,li1,91.5400,116.9600,1.799038
FILLER_39_172,VPWR,li1,84.8700,116.9600,1.799087
FILLER_39_167,VPWR,li1,82.5700,116.9600,1.799121
FILLER_39_156,VPWR,li1,78.6600,116.9600,1.799145
FILLER_39_147,VPWR,li1,74.5200,116.9600,1.799184
FILLER_39_135,VPWR,li1,70.3800,116.9600,1.799244
FILLER_39_131,VPWR,li1,66.0100,116.9600,1.799294
FILLER_39_125,VPWR,li1,64.4000,116.9600,1.799294
FILLER_39_113,VPWR,li1,60.2600,116.9600,1.799352
FILLER_39_111,VPWR,li1,56.8100,116.9600,1.799392
FILLER_39_107,VPWR,li1,55.6600,116.9600,1.799392
FILLER_39_95,VPWR,li1,51.9800,116.9600,1.799450
FILLER_39_68,VPWR,li1,37.0300,116.9600,1.799612
FILLER_39_60,VPWR,li1,34.9600,116.9600,1.799639
FILLER_39_55,VPWR,li1,31.0500,116.9600,1.799704
FILLER_39_47,VPWR,li1,27.6000,116.9600,1.799740
FILLER_39_39,VPWR,li1,25.3000,116.9600,1.799786
FILLER_39_27,VPWR,li1,20.7000,116.9600,1.799844
FILLER_39_15,VPWR,li1,15.1800,116.9600,1.799844
FILLER_39_3,VPWR,li1,9.6600,116.9600,1.799844
FILLER_38_256,VPWR,li1,123.5100,116.9600,1.798872
FILLER_38_248,VPWR,li1,120.5200,116.9600,1.798875
FILLER_38_216,VPWR,li1,105.1100,116.9600,1.798950
FILLER_38_197,VPWR,li1,96.8300,116.9600,1.799001
FILLER_38_141,VPWR,li1,70.6100,116.9600,1.799244
FILLER_38_136,VPWR,li1,69.0000,116.9600,1.799244
FILLER_38_130,VPWR,li1,66.0100,116.9600,1.799294
FILLER_38_118,VPWR,li1,62.5600,116.9600,1.799314
FILLER_38_94,VPWR,li1,48.9900,116.9600,1.799484
FILLER_38_88,VPWR,li1,47.3800,116.9600,1.799484
FILLER_38_80,VPWR,li1,43.2400,116.9600,1.799553
FILLER_38_29,VPWR,li1,19.3200,116.9600,1.799844
FILLER_38_27,VPWR,li1,18.1700,116.9600,1.799844
FILLER_38_15,VPWR,li1,15.1800,116.9600,1.799844
FILLER_38_3,VPWR,li1,9.6600,116.9600,1.799844
FILLER_37_256,VPWR,li1,123.5100,111.5200,1.796925
FILLER_37_222,VPWR,li1,108.1000,111.5200,1.797003
FILLER_37_177,VPWR,li1,87.4000,111.5200,1.797254
FILLER_37_156,VPWR,li1,77.5100,111.5200,1.797457
FILLER_37_142,VPWR,li1,71.0700,111.5200,1.797650
FILLER_37_113,VPWR,li1,57.7300,111.5200,1.798024
FILLER_37_110,VPWR,li1,56.5800,111.5200,1.798024
FILLER_37_93,VPWR,li1,49.6800,111.5200,1.798259
FILLER_37_68,VPWR,li1,37.0300,111.5200,1.798725
FILLER_37_64,VPWR,li1,35.8800,111.5200,1.798856
FILLER_37_57,VPWR,li1,32.6600,111.5200,1.798954
FILLER_37_55,VPWR,li1,31.0500,111.5200,1.799052
FILLER_37_51,VPWR,li1,29.2100,111.5200,1.799150
FILLER_37_27,VPWR,li1,20.7000,111.5200,1.799523
FILLER_37_15,VPWR,li1,15.1800,111.5200,1.799523
FILLER_37_3,VPWR,li1,9.6600,111.5200,1.799523
FILLER_36_253,VPWR,li1,123.7400,111.5200,1.796925
FILLER_36_231,VPWR,li1,112.0100,111.5200,1.796972
FILLER_36_225,VPWR,li1,109.7100,111.5200,1.796987
FILLER_36_217,VPWR,li1,107.1800,111.5200,1.797003
FILLER_36_194,VPWR,li1,95.2200,111.5200,1.797138
FILLER_36_190,VPWR,li1,93.1500,111.5200,1.797168
FILLER_36_181,VPWR,li1,90.1600,111.5200,1.797205
FILLER_36_136,VPWR,li1,68.3100,111.5200,1.797699
FILLER_36_121,VPWR,li1,63.9400,111.5200,1.797818
FILLER_36_106,VPWR,li1,54.5100,111.5200,1.798083
FILLER_36_98,VPWR,li1,50.8300,111.5200,1.798197
FILLER_36_80,VPWR,li1,42.5500,111.5200,1.798479
FILLER_36_61,VPWR,li1,33.8100,111.5200,1.798954
FILLER_36_55,VPWR,li1,32.2000,111.5200,1.798954
FILLER_36_43,VPWR,li1,28.0600,111.5200,1.799150
FILLER_36_35,VPWR,li1,21.8500,111.5200,1.799523
FILLER_36_29,VPWR,li1,20.2400,111.5200,1.799523
FILLER_36_27,VPWR,li1,18.1700,111.5200,1.799523
FILLER_36_15,VPWR,li1,15.1800,111.5200,1.799523
FILLER_36_3,VPWR,li1,9.6600,111.5200,1.799523
FILLER_35_249,VPWR,li1,122.8200,106.0800,1.799285
FILLER_35_237,VPWR,li1,117.3000,106.0800,1.799297
FILLER_35_225,VPWR,li1,111.7800,106.0800,1.799307
FILLER_35_222,VPWR,li1,108.1000,106.0800,1.799314
FILLER_35_214,VPWR,li1,105.8000,106.0800,1.799321
FILLER_35_202,VPWR,li1,101.2000,106.0800,1.799332
FILLER_35_198,VPWR,li1,96.8300,106.0800,1.799345
FILLER_35_194,VPWR,li1,95.6800,106.0800,1.799350
FILLER_35_167,VPWR,li1,82.5700,106.0800,1.799401
FILLER_35_163,VPWR,li1,80.7300,106.0800,1.799410
FILLER_35_155,VPWR,li1,78.6600,106.0800,1.799422
FILLER_35_151,VPWR,li1,75.2100,106.0800,1.799452
FILLER_35_147,VPWR,li1,74.0600,106.0800,1.799452
FILLER_35_121,VPWR,li1,61.8700,106.0800,1.799545
FILLER_35_113,VPWR,li1,59.3400,106.0800,1.799570
FILLER_35_106,VPWR,li1,55.6600,106.0800,1.799592
FILLER_35_97,VPWR,li1,50.3700,106.0800,1.799634
FILLER_35_91,VPWR,li1,48.7600,106.0800,1.799659
FILLER_35_69,VPWR,li1,37.7200,106.0800,1.799751
FILLER_35_57,VPWR,li1,34.5000,106.0800,1.799781
FILLER_35_55,VPWR,li1,31.0500,106.0800,1.799816
FILLER_35_51,VPWR,li1,29.9000,106.0800,1.799816
FILLER_35_39,VPWR,li1,26.2200,106.0800,1.799853
FILLER_35_27,VPWR,li1,20.7000,106.0800,1.799904
FILLER_35_15,VPWR,li1,15.1800,106.0800,1.799904
FILLER_35_3,VPWR,li1,9.6600,106.0800,1.799904
FILLER_34_253,VPWR,li1,122.8200,106.0800,1.799285
FILLER_34_248,VPWR,li1,120.5200,106.0800,1.799289
FILLER_34_236,VPWR,li1,116.8400,106.0800,1.799297
FILLER_34_229,VPWR,li1,111.7800,106.0800,1.799307
FILLER_34_217,VPWR,li1,108.1000,106.0800,1.799314
FILLER_34_213,VPWR,li1,103.7300,106.0800,1.799327
FILLER_34_209,VPWR,li1,102.5800,106.0800,1.799327
FILLER_34_197,VPWR,li1,96.6000,106.0800,1.799345
FILLER_34_172,VPWR,li1,84.8700,106.0800,1.799388
FILLER_34_149,VPWR,li1,74.7500,106.0800,1.799452
FILLER_34_141,VPWR,li1,72.2200,106.0800,1.799464
FILLER_34_132,VPWR,li1,68.0800,106.0800,1.799492
FILLER_34_121,VPWR,li1,61.4100,106.0800,1.799545
FILLER_34_109,VPWR,li1,58.4200,106.0800,1.799570
FILLER_34_97,VPWR,li1,52.9000,106.0800,1.799614
FILLER_34_85,VPWR,li1,47.3800,106.0800,1.799659
FILLER_34_72,VPWR,li1,41.4000,106.0800,1.799707
FILLER_34_67,VPWR,li1,36.8000,106.0800,1.799751
FILLER_34_55,VPWR,li1,33.5800,106.0800,1.799781
FILLER_34_44,VPWR,li1,25.9900,106.0800,1.799853
FILLER_34_36,VPWR,li1,23.9200,106.0800,1.799873
FILLER_34_29,VPWR,li1,19.0900,106.0800,1.799904
FILLER_34_26,VPWR,li1,17.9400,106.0800,1.799904
FILLER_34_18,VPWR,li1,15.6400,106.0800,1.799904
FILLER_34_6,VPWR,li1,11.0400,106.0800,1.799904
FILLER_33_259,VPWR,li1,125.1200,100.6400,1.798536
FILLER_33_223,VPWR,li1,108.3300,100.6400,1.798578
FILLER_33_204,VPWR,li1,100.2800,100.6400,1.798625
FILLER_33_169,VPWR,li1,83.7200,100.6400,1.798789
FILLER_33_167,VPWR,li1,82.5700,100.6400,1.798789
FILLER_33_145,VPWR,li1,72.6800,100.6400,1.798924
FILLER_33_137,VPWR,li1,70.3800,100.6400,1.798955
FILLER_33_123,VPWR,li1,63.9400,100.6400,1.799046
FILLER_33_110,VPWR,li1,56.5800,100.6400,1.799157
FILLER_33_102,VPWR,li1,54.2800,100.6400,1.799192
FILLER_33_83,VPWR,li1,43.9300,100.6400,1.799381
FILLER_33_57,VPWR,li1,31.9700,100.6400,1.799562
FILLER_33_27,VPWR,li1,18.1700,100.6400,1.799775
FILLER_33_23,VPWR,li1,17.0200,100.6400,1.799772
FILLER_32_260,VPWR,li1,125.3500,100.6400,1.798536
FILLER_32_253,VPWR,li1,122.8200,100.6400,1.798536
FILLER_32_229,VPWR,li1,111.5500,100.6400,1.798561
FILLER_32_217,VPWR,li1,108.1000,100.6400,1.798587
FILLER_32_175,VPWR,li1,86.2500,100.6400,1.798765
FILLER_32_141,VPWR,li1,72.2200,100.6400,1.798924
FILLER_32_121,VPWR,li1,62.1000,100.6400,1.799084
FILLER_32_109,VPWR,li1,58.4200,100.6400,1.799129
FILLER_32_78,VPWR,li1,41.6300,100.6400,1.799423
FILLER_32_72,VPWR,li1,40.0200,100.6400,1.799423
FILLER_32_66,VPWR,li1,36.5700,100.6400,1.799504
FILLER_32_41,VPWR,li1,24.8400,100.6400,1.799732
FILLER_32_29,VPWR,li1,19.7800,100.6400,1.799775
FILLER_32_16,VPWR,li1,15.6400,100.6400,1.799772
FILLER_32_12,VPWR,li1,11.2700,100.6400,1.799766
FILLER_32_6,VPWR,li1,9.6600,100.6400,1.799766
FILLER_31_253,VPWR,li1,122.8200,95.2000,1.797284
FILLER_31_222,VPWR,li1,108.1000,95.2000,1.797358
FILLER_31_215,VPWR,li1,104.6500,95.2000,1.797374
FILLER_31_205,VPWR,li1,100.2800,95.2000,1.797426
FILLER_31_169,VPWR,li1,83.9500,95.2000,1.797701
FILLER_31_167,VPWR,li1,82.5700,95.2000,1.797740
FILLER_31_163,VPWR,li1,81.4200,95.2000,1.797789
FILLER_31_152,VPWR,li1,77.2800,95.2000,1.797843
FILLER_31_140,VPWR,li1,72.6800,95.2000,1.797941
FILLER_31_125,VPWR,li1,63.4800,95.2000,1.798140
FILLER_31_113,VPWR,li1,57.9600,95.2000,1.798298
FILLER_31_110,VPWR,li1,56.5800,95.2000,1.798298
FILLER_31_54,VPWR,li1,30.8200,95.2000,1.799161
FILLER_31_26,VPWR,li1,19.3200,95.2000,1.799511
FILLER_30_260,VPWR,li1,125.3500,95.2000,1.797280
FILLER_30_256,VPWR,li1,124.2000,95.2000,1.797284
FILLER_30_231,VPWR,li1,112.0100,95.2000,1.797321
FILLER_30_204,VPWR,li1,99.5900,95.2000,1.797454
FILLER_30_200,VPWR,li1,98.4400,95.2000,1.797454
FILLER_30_194,VPWR,li1,95.2200,95.2000,1.797503
FILLER_30_186,VPWR,li1,92.9200,95.2000,1.797538
FILLER_30_165,VPWR,li1,82.1100,95.2000,1.797740
FILLER_30_153,VPWR,li1,78.6600,95.2000,1.797843
FILLER_30_141,VPWR,li1,73.1400,95.2000,1.797941
FILLER_30_139,VPWR,li1,69.6900,95.2000,1.798039
FILLER_30_133,VPWR,li1,68.0800,95.2000,1.798039
FILLER_30_126,VPWR,li1,63.7100,95.2000,1.798140
FILLER_30_118,VPWR,li1,61.6400,95.2000,1.798185
FILLER_30_85,VPWR,li1,45.0800,95.2000,1.798633
FILLER_30_73,VPWR,li1,40.9400,95.2000,1.798765
FILLER_30_54,VPWR,li1,30.5900,95.2000,1.799161
FILLER_30_29,VPWR,li1,19.3200,95.2000,1.799511
FILLER_30_16,VPWR,li1,15.6400,95.2000,1.799506
FILLER_30_12,VPWR,li1,11.2700,95.2000,1.799501
FILLER_30_6,VPWR,li1,9.6600,95.2000,1.799501
FILLER_29_260,VPWR,li1,125.3500,89.7600,1.799201
FILLER_29_256,VPWR,li1,124.2000,89.7600,1.799201
FILLER_29_244,VPWR,li1,120.5200,89.7600,1.799201
FILLER_29_232,VPWR,li1,115.0000,89.7600,1.799205
FILLER_29_225,VPWR,li1,109.9400,89.7600,1.799209
FILLER_29_221,VPWR,li1,107.8700,89.7600,1.799211
FILLER_29_209,VPWR,li1,104.4200,89.7600,1.799215
FILLER_29_160,VPWR,li1,80.9600,89.7600,1.799296
FILLER_29_148,VPWR,li1,76.3600,89.7600,1.799328
FILLER_29_136,VPWR,li1,70.8400,89.7600,1.799370
FILLER_29_117,VPWR,li1,59.5700,89.7600,1.799447
FILLER_29_113,VPWR,li1,58.4200,89.7600,1.799467
FILLER_29_100,VPWR,li1,54.2800,89.7600,1.799491
FILLER_29_96,VPWR,li1,49.9100,89.7600,1.799530
FILLER_29_80,VPWR,li1,43.0100,89.7600,1.799608
FILLER_28_253,VPWR,li1,123.7400,89.7600,1.799201
FILLER_28_240,VPWR,li1,116.8400,89.7600,1.799204
FILLER_28_228,VPWR,li1,113.1600,89.7600,1.799207
FILLER_28_216,VPWR,li1,107.6400,89.7600,1.799211
FILLER_28_208,VPWR,li1,101.8900,89.7600,1.799219
FILLER_28_182,VPWR,li1,90.6200,89.7600,1.799247
FILLER_28_153,VPWR,li1,76.5900,89.7600,1.799328
FILLER_28_141,VPWR,li1,73.1400,89.7600,1.799350
FILLER_28_99,VPWR,li1,51.7500,89.7600,1.799514
FILLER_28_94,VPWR,li1,49.2200,89.7600,1.799551
FILLER_28_72,VPWR,li1,41.4000,89.7600,1.799608
FILLER_28_66,VPWR,li1,36.1100,89.7600,1.799657
FILLER_28_62,VPWR,li1,34.9600,89.7600,1.799687
FILLER_28_37,VPWR,li1,23.0000,89.7600,1.799837
FILLER_28_16,VPWR,li1,15.6400,89.7600,1.799828
FILLER_28_12,VPWR,li1,11.2700,89.7600,1.799822
FILLER_28_6,VPWR,li1,9.6600,89.7600,1.799822
FILLER_27_235,VPWR,li1,115.0000,84.3200,1.798609
FILLER_27_220,VPWR,li1,106.9500,84.3200,1.798654
FILLER_27_192,VPWR,li1,94.0700,84.3200,1.798787
FILLER_27_162,VPWR,li1,81.4200,84.3200,1.798934
FILLER_27_145,VPWR,li1,72.9100,84.3200,1.799062
FILLER_27_137,VPWR,li1,70.3800,84.3200,1.799091
FILLER_27_125,VPWR,li1,65.7800,84.3200,1.799153
FILLER_27_113,VPWR,li1,60.2600,84.3200,1.799231
FILLER_27_111,VPWR,li1,56.8100,84.3200,1.799302
FILLER_27_105,VPWR,li1,55.2000,84.3200,1.799302
FILLER_27_77,VPWR,li1,41.4000,84.3200,1.799508
FILLER_27_69,VPWR,li1,39.1000,84.3200,1.799544
FILLER_27_57,VPWR,li1,34.5000,84.3200,1.799617
FILLER_27_52,VPWR,li1,30.3600,84.3200,1.799684
