Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_43_253,VGND,li1,123.7400,130.5600,0.000121
FILLER_43_251,VGND,li1,121.2100,130.5600,0.000121
FILLER_43_245,VGND,li1,119.6000,130.5600,0.000121
FILLER_43_238,VGND,li1,115.6900,130.5600,0.000121
FILLER_43_233,VGND,li1,112.9300,130.5600,0.000119
FILLER_43_221,VGND,li1,107.8700,130.5600,0.000113
FILLER_43_209,VGND,li1,104.4200,130.5600,0.000109
FILLER_43_197,VGND,li1,98.9000,130.5600,0.000102
FILLER_43_193,VGND,li1,94.9900,130.5600,0.000097
FILLER_43_181,VGND,li1,91.5400,130.5600,0.000093
FILLER_43_169,VGND,li1,86.0200,130.5600,0.000086
FILLER_43_165,VGND,li1,82.1100,130.5600,0.000081
FILLER_43_153,VGND,li1,78.6600,130.5600,0.000077
FILLER_43_141,VGND,li1,73.1400,130.5600,0.000071
FILLER_43_137,VGND,li1,69.2300,130.5600,0.000066
FILLER_43_125,VGND,li1,65.7800,130.5600,0.000062
FILLER_43_113,VGND,li1,60.2600,130.5600,0.000055
FILLER_43_109,VGND,li1,56.3500,130.5600,0.000050
FILLER_43_97,VGND,li1,52.9000,130.5600,0.000046
FILLER_43_85,VGND,li1,47.3800,130.5600,0.000039
FILLER_43_81,VGND,li1,43.4700,130.5600,0.000034
FILLER_43_69,VGND,li1,40.0200,130.5600,0.000030
FILLER_43_57,VGND,li1,34.5000,130.5600,0.000024
FILLER_43_53,VGND,li1,30.5900,130.5600,0.000019
FILLER_43_41,VGND,li1,27.1400,130.5600,0.000015
FILLER_43_29,VGND,li1,21.6200,130.5600,0.000012
FILLER_43_27,VGND,li1,18.1700,130.5600,0.000012
FILLER_43_15,VGND,li1,15.1800,130.5600,0.000012
FILLER_43_3,VGND,li1,9.6600,130.5600,0.000012
FILLER_42_253,VGND,li1,123.7400,125.1200,0.000812
FILLER_42_246,VGND,li1,120.0600,125.1200,0.000812
FILLER_42_234,VGND,li1,115.9200,125.1200,0.000812
FILLER_42_213,VGND,li1,103.7300,125.1200,0.000788
FILLER_42_209,VGND,li1,102.5800,125.1200,0.000788
FILLER_42_195,VGND,li1,95.4500,125.1200,0.000758
FILLER_42_183,VGND,li1,92.4600,125.1200,0.000748
FILLER_42_170,VGND,li1,84.1800,125.1200,0.000709
FILLER_42_161,VGND,li1,79.8100,125.1200,0.000677
