net,length_um
_151_,11.1µm
_009_,11µm
pp1\[0\],10.98µm
middle_sum\[0\],10.96µm
_171_,10.88µm
a[5],10.87µm
_224_,10.86µm
_174_,10.82µm
_258_,10.78µm
pp0\[5\],10.7µm
_142_,10.64µm
_247_,10.64µm
_306_,10.36µm
_290_,10.16µm
_356_,10.08µm
_001_,10.045µm
_343_,10.04µm
_315_,9.96µm
_158_,9.92µm
pp2\[2\],9.9µm
pp2\[0\],9.84µm
_178_,9.7µm
pp3\[2\],9.7µm
_182_,9.58µm
_201_,9.58µm
_250_,9.58µm
_007_,9.54µm
_301_,9.44µm
_359_,9.4µm
_299_,9.39µm
pp2\[3\],9.36µm
_232_,9.34µm
_160_,9.28µm
_362_,9.26µm
_039_,9.18µm
_177_,9.06µm
_298_,9.04µm
product[0],8.96µm
product[1],8.96µm
product[2],8.96µm
product[3],8.96µm
_226_,8.92µm
_268_,8.92µm
_272_,8.92µm
_348_,8.92µm
_330_,8.88µm
_205_,8.84µm
_207_,8.82µm
pp1\[3\],8.8µm
_310_,8.74µm
_032_,8.7µm
_168_,8.7µm
_152_,8.665µm
_167_,8.66µm
_183_,8.66µm
_200_,8.6µm
pp0\[3\],8.6µm
net32,8.6µm
product[4],8.53µm
_275_,8.52µm
_206_,8.48µm
_156_,8.44µm
_262_,8.4µm
_154_,8.38µm
_215_,8.38µm
_256_,8.36µm
_286_,8.34µm
_370_,8.26µm
_050_,8.24µm
_344_,8.24µm
pp3\[5\],8.24µm
_019_,8.18µm
_045_,8.16µm
net1,8.16µm
_341_,8.12µm
_159_,8.1µm
_355_,8.1µm
_153_,8.02µm
_285_,8.02µm
_260_,8µm
_347_,8µm
net20,7.98µm
_346_,7.96µm
_089_,7.95µm
b[1],7.93µm
_255_,7.9µm
middle_sum\[2\],7.9µm
_251_,7.82µm
_304_,7.78µm
_354_,7.77µm
_274_,7.74µm
_221_,7.66µm
pp1\[2\],7.64µm
_305_,7.56µm
_335_,7.56µm
_378_,7.56µm
_360_,7.525µm
_140_,7.46µm
_189_,7.44µm
_129_,7.42µm
_239_,7.395µm
_029_,7.32µm
_318_,7.32µm
_134_,7.3µm
middle_sum\[4\],7.3µm
net8,7.3µm
a[4],7.23µm
_024_,7.22µm
_328_,7.22µm
_331_,7.22µm
net2,7.22µm
_165_,7.2µm
_136_,7.18µm
net69,7.14µm
_332_,7.12µm
_377_,7.12µm
_128_,7.1µm
_266_,7.06µm
_270_,7.06µm
net27,7.06µm
a[6],6.99µm
_211_,6.935µm
_030_,6.88µm
_282_,6.86µm
_002_,6.76µm
_248_,6.76µm
_249_,6.745µm
_308_,6.74µm
_021_,6.72µm
_228_,6.7µm
_300_,6.64µm
net71,6.64µm
_240_,6.62µm
pp3\[3\],6.54µm
_138_,6.52µm
_203_,6.52µm
_345_,6.4µm
_093_,6.35µm
b[5],6.33µm
pp0\[0\],6.32µm
b[3],6.31µm
_033_,6.3µm
_252_,6.28µm
_242_,6.26µm
product[5],6.21µm
product[6],6.21µm
product[7],6.21µm
_192_,6.18µm
pp2\[4\],6.18µm
_281_,6.14µm
product[12],6.09µm
_271_,6.06µm
pp2\[1\],6.06µm
net28,6.06µm
b[2],5.97µm
_004_,5.84µm
_051_,5.84µm
middle_sum\[5\],5.84µm
_263_,5.82µm
_122_,5.8µm
_145_,5.8µm
product[11],5.75µm
net21,5.74µm
_314_,5.7µm
_303_,5.58µm
_116_,5.56µm
_028_,5.4µm
_135_,5.4µm
net4,5.4µm
net13,5.4µm
_213_,5.38µm
_379_,5.38µm
_327_,5.365µm
_267_,5.36µm
_048_,5.34µm
_130_,5.34µm
_075_,5.33µm
_107_,5.33µm
a[2],5.29µm
_077_,5.26µm
_179_,5.26µm
_186_,5.26µm
_279_,5.26µm
_302_,5.26µm
_313_,5.26µm
pp3\[0\],5.205µm
product[13],5.19µm
pp3\[1\],5.14µm
net26,5.14µm
_072_,5.07µm
_043_,5.06µm
_044_,5.06µm
_293_,5.04µm
_149_,5.02µm
middle_sum\[7\],5.02µm
_099_,5µm
net72,5µm
b[4],4.95µm
_005_,4.94µm
net14,4.94µm
_025_,4.92µm
_365_,4.9µm
_283_,4.88µm
product[10],4.85µm
product[9],4.85µm
_198_,4.805µm
_269_,4.8µm
pp1\[4\],4.8µm
net19,4.76µm
net23,4.76µm
net29,4.76µm
_117_,4.68µm
_209_,4.68µm
a[3],4.61µm
_020_,4.56µm
pp0\[7\],4.56µm
_062_,4.54µm
_094_,4.54µm
net15,4.54µm
_074_,4.53µm
_133_,4.505µm
_003_,4.48µm
_381_,4.48µm
pp2\[7\],4.48µm
_146_,4.46µm
_334_,4.46µm
_358_,4.46µm
middle_sum\[1\],4.44µm
_026_,4.42µm
_373_,4.36µm
_119_,4.34µm
_191_,4.34µm
_193_,4.34µm
_254_,4.34µm
_265_,4.34µm
_273_,4.34µm
_368_,4.335µm
_000_,4.12µm
_018_,4.12µm
_280_,4.1µm
_292_,4.02µm
_350_,4.02µm
_017_,4µm
_163_,4µm
_187_,4µm
_246_,4µm
pp0\[2\],4µm
net70,4µm
rst,3.93µm
_321_,3.9µm
_342_,3.9µm
net75,3.88µm
_170_,3.78µm
_214_,3.76µm
_223_,3.76µm
_157_,3.64µm
_027_,3.56µm
_312_,3.56µm
_376_,3.56µm
_324_,3.54µm
pp3\[7\],3.54µm
_297_,3.42µm
middle_sum\[3\],3.42µm
net16,3.42µm
net18,3.42µm
net25,3.42µm
_078_,3.35µm
_079_,3.3µm
_337_,3.3µm
_371_,3.3µm
_046_,3.22µm
_212_,3.12µm
_022_,3.1µm
_124_,3.1µm
_172_,3.1µm
_257_,3.1µm
_261_,3.1µm
_287_,3.1µm
_351_,3.1µm
_375_,3.1µm
_041_,3.08µm
_245_,3.08µm
_277_,3.08µm
_323_,3.08µm
_070_,2.96µm
pp1\[7\],2.96µm
_054_,2.84µm
_058_,2.84µm
_059_,2.84µm
_065_,2.84µm
_081_,2.84µm
_087_,2.84µm
_105_,2.84µm
net5,2.84µm
net9,2.84µm
_082_,2.77µm
net3,2.74µm
_109_,2.69µm
_322_,2.52µm
_176_,2.5µm
_210_,2.5µm
_241_,2.5µm
_253_,2.5µm
net24,2.5µm
_052_,2.38µm
_066_,2.38µm
_069_,2.38µm
_080_,2.38µm
_085_,2.38µm
_091_,2.38µm
_097_,2.38µm
_101_,2.38µm
_102_,2.38µm
_108_,2.38µm
_118_,2.38µm
_120_,2.38µm
net10,2.38µm
_010_,2.3µm
net74,2.3µm
_110_,2.28µm
_053_,2.23µm
_064_,2.23µm
_067_,2.23µm
_068_,2.23µm
_071_,2.23µm
_073_,2.23µm
_083_,2.23µm
_086_,2.23µm
_088_,2.23µm
_090_,2.23µm
_092_,2.23µm
_098_,2.23µm
_100_,2.23µm
_103_,2.23µm
_104_,2.23µm
_106_,2.23µm
_112_,2.23µm
_123_,2.23µm
_056_,2.21µm
_057_,2.21µm
_060_,2.21µm
_040_,2.205µm
_197_,2.16µm
_199_,2.16µm
net6,2.16µm
net7,2.16µm
_121_,2.04µm
_144_,2.04µm
_180_,2.04µm
net22,2.04µm
net31,2.04µm
_162_,1.84µm
net73,1.84µm
_061_,1.82µm
_063_,1.82µm
_096_,1.82µm
net11,1.82µm
_115_,1.75µm
_169_,1.72µm
_216_,1.72µm
_291_,1.72µm
_320_,1.72µm
_372_,1.72µm
_084_,1.7µm
_231_,1.7µm
net30,1.7µm
net33,1.7µm
net12,1.545µm
_278_,1.38µm
_296_,1.38µm
_309_,1.38µm
_055_,1.36µm
_076_,1.36µm
_095_,1.36µm
_111_,1.36µm
_113_,1.36µm
_114_,1.36µm
_219_,1.36µm
_374_,1.36µm
_317_,1.26µm
_363_,1.26µm
_380_,1.26µm
_184_,1.14µm
_137_,0.92µm
_311_,0.92µm
_336_,0.92µm
pp0\[1\],0.92µm
_349_,0.8µm
_366_,0.8µm
