net,length_um
clknet_0_clk,139.36µm
net39,138.16µm
net37,133.52µm
net67,123.3µm
net34,119.425µm
clknet_3_7__leaf_clk,119.36µm
net60,117.46µm
net46,117.28µm
net61,114.56µm
clknet_3_1__leaf_clk,112.46µm
net50,108.14µm
net36,107.13µm
net40,106.955µm
net17,106.24µm
net44,105.76µm
clknet_3_0__leaf_clk,105.08µm
clk,102.37µm
net62,101.38µm
net42,99.61µm
net47,98.87µm
net63,97µm
clknet_3_2__leaf_clk,93.42µm
net48,90.88µm
clknet_3_5__leaf_clk,88.68µm
net57,88.635µm
net59,86.86µm
net66,85.14µm
net52,84.78µm
net65,84.3µm
clknet_3_6__leaf_clk,83.24µm
net64,82.44µm
clknet_3_4__leaf_clk,75.14µm
net55,74.02µm
clknet_3_3__leaf_clk,73.22µm
b_low\[0\],72.1µm
net58,70.76µm
b_high\[0\],70.34µm
a_low\[1\],64.015µm
net53,62.09µm
b_low\[1\],51.24µm
b_low\[3\],49.76µm
a_high\[2\],48.26µm
net51,48.18µm
net56,47.915µm
b_high\[2\],47.69µm
net43,44.84µm
net49,43.595µm
_031_,41.34µm
net35,41.14µm
net38,40.9µm
a_low\[0\],39.78µm
net45,38.84µm
net68,37.2µm
_047_,34.96µm
net54,32.84µm
_011_,31.8µm
a_high\[3\],31.64µm
a_high\[1\],31.54µm
pp1\[6\],29.82µm
_013_,29.66µm
_276_,28.48µm
_236_,27.58µm
_222_,27.445µm
_035_,27.26µm
net41,27.2µm
b_low\[2\],26.98µm
_244_,26.84µm
b_high\[3\],26.78µm
_307_,24.9µm
pp1\[5\],24.18µm
b_high\[1\],23.92µm
a_low\[2\],23.04µm
_008_,22.48µm
a_low\[3\],22.23µm
_015_,22.085µm
_014_,21.72µm
pp3\[6\],21.54µm
_012_,21.44µm
pp0\[4\],20.4µm
_190_,20.04µm
_042_,19.685µm
a_high\[0\],19.54µm
_049_,19.1µm
_037_,19.06µm
_036_,18.9µm
_230_,18.86µm
pp2\[6\],18.6µm
_237_,18.04µm
_147_,17.48µm
_289_,17.11µm
_338_,17.06µm
_217_,16.99µm
_185_,16.86µm
_238_,16.8µm
pp3\[4\],16.355µm
_284_,16.26µm
_034_,16.18µm
_326_,16.16µm
_204_,16.08µm
_357_,15.98µm
_141_,15.96µm
_195_,15.92µm
_295_,15.9µm
_175_,15.8µm
_235_,15.72µm
a[0],15.62µm
net76,15.56µm
_127_,15.53µm
_143_,15.48µm
_173_,15.44µm
_333_,15.1µm
_288_,14.97µm
_364_,14.92µm
_229_,14.82µm
_367_,14.72µm
_126_,14.68µm
_208_,14.44µm
_329_,14.2µm
_150_,13.94µm
b[7],13.74µm
_166_,13.72µm
_234_,13.64µm
_220_,13.6µm
_369_,13.4µm
_339_,13.38µm
_164_,13.28µm
_131_,13.26µm
_038_,13.22µm
_161_,13.14µm
_148_,13.1µm
_202_,12.84µm
_353_,12.76µm
_006_,12.7µm
_023_,12.62µm
_352_,12.58µm
_227_,12.52µm
_155_,12.46µm
_181_,12.46µm
pp1\[1\],12.46µm
_125_,12.42µm
_016_,12.4µm
a[7],12.36µm
b[6],12.36µm
_233_,12.28µm
_294_,12.26µm
_194_,12.24µm
_340_,12.2µm
product[8],12.15µm
_225_,12.12µm
_196_,12.1µm
_188_,12µm
_218_,11.98µm
_259_,11.98µm
_139_,11.82µm
b[0],11.78µm
_132_,11.56µm
_264_,11.56µm
_325_,11.52µm
_319_,11.5µm
a[1],11.48µm
pp2\[5\],11.46µm
_361_,11.4µm
product[14],11.22µm
product[15],11.22µm
middle_sum\[6\],11.2µm
pp0\[6\],11.2µm
_243_,11.18µm
_316_,11.18µm
