net,length_um
net17,168.8µm
net56,157.7µm
clknet_0_clk,135.54µm
net44,124.46µm
net36,122.88µm
net61,122.76µm
net37,112.68µm
net62,107.655µm
clknet_3_5__leaf_clk,106.74µm
net43,105.495µm
clknet_3_7__leaf_clk,105µm
net41,102.17µm
clknet_3_1__leaf_clk,101.65µm
clknet_3_2__leaf_clk,99.74µm
net38,98.75µm
net59,98.6µm
clk,95.67µm
net52,94.785µm
clknet_3_6__leaf_clk,94.22µm
net34,92.235µm
net53,92µm
net39,89.82µm
net57,87.84µm
net60,85.56µm
clknet_3_3__leaf_clk,85.18µm
net48,80.525µm
net54,78.48µm
net55,72.86µm
net51,72.46µm
b_low\[1\],68.265µm
b_low\[0\],64.3µm
clknet_3_4__leaf_clk,62.74µm
net49,61.58µm
a_low\[1\],59.795µm
clknet_3_0__leaf_clk,59.62µm
net47,59.5µm
net50,59.305µm
b_low\[3\],59.08µm
net42,57.375µm
a_low\[2\],54.46µm
net45,54.44µm
_039_,50.74µm
b_high\[0\],49.74µm
b_high\[3\],49.12µm
a_low\[0\],48.6µm
b_low\[2\],47.12µm
_243_,45.08µm
net46,43.57µm
net40,39.62µm
_016_,38.96µm
_264_,37.74µm
a_high\[0\],36.54µm
b_high\[2\],34.1µm
net58,34.04µm
_043_,33.44µm
a_high\[3\],33.42µm
_210_,32.86µm
_007_,30.5µm
_006_,29.54µm
pp2\[0\],28.92µm
pp1\[5\],28.48µm
_164_,27.88µm
_020_,27.605µm
a_high\[1\],27.52µm
b_high\[1\],26.995µm
a_high\[2\],26.78µm
_309_,25.32µm
_010_,25.16µm
_227_,23.88µm
_141_,23.76µm
_001_,23.54µm
_041_,22.88µm
_117_,22.1µm
_177_,21.76µm
_245_,21.64µm
_342_,21.44µm
_261_,21.43µm
_363_,21.32µm
net35,20.42µm
_265_,20.32µm
_262_,20.18µm
_256_,20.14µm
_203_,20µm
_310_,19.34µm
_301_,18.98µm
_121_,18.96µm
_112_,18.82µm
pp3\[2\],18.64µm
net69,18.6µm
_232_,18.58µm
_219_,18.4µm
_038_,18.305µm
_260_,18.3µm
_283_,18.19µm
_337_,17.94µm
_042_,17.92µm
_118_,17.78µm
_155_,17.5µm
