net,length_um
_003_,17.36µm
_197_,17.28µm
_272_,17.2µm
_115_,17.165µm
pp2\[6\],16.88µm
_157_,16.6µm
_358_,16.56µm
_230_,16.52µm
_315_,16.52µm
_267_,16.38µm
pp3\[3\],16.14µm
_148_,16.08µm
_011_,15.96µm
_291_,15.88µm
_171_,15.86µm
_325_,15.76µm
_340_,15.7µm
_287_,15.66µm
_194_,15.62µm
_228_,15.62µm
_151_,15.56µm
pp2\[2\],15.29µm
_009_,15.26µm
b[1],15.16µm
_333_,15.13µm
_322_,14.92µm
pp0\[4\],14.92µm
_183_,14.88µm
_221_,14.86µm
_158_,14.78µm
_277_,14.72µm
pp1\[0\],14.64µm
_326_,14.62µm
_235_,14.26µm
_305_,14.06µm
_125_,13.92µm
_275_,13.78µm
_000_,13.72µm
_234_,13.68µm
_002_,13.66µm
_131_,13.62µm
_110_,13.42µm
_353_,13.3µm
_339_,13.08µm
_153_,12.94µm
_209_,12.92µm
_024_,12.86µm
_108_,12.68µm
_216_,12.63µm
_338_,12.58µm
_286_,12.52µm
_327_,12.5µm
_351_,12.5µm
_040_,12.42µm
pp0\[6\],12.34µm
_195_,12.3µm
pp2\[5\],12.3µm
pp0\[5\],12.22µm
_173_,12.1µm
pp2\[7\],12.08µm
_202_,11.84µm
_239_,11.84µm
_028_,11.82µm
_293_,11.82µm
_252_,11.8µm
_240_,11.76µm
pp0\[7\],11.76µm
_212_,11.71µm
_170_,11.7µm
_324_,11.6µm
_215_,11.54µm
_308_,11.54µm
_365_,11.42µm
_166_,11.34µm
_254_,11.34µm
product[0],11.22µm
_008_,11.005µm
_236_,10.96µm
_280_,10.91µm
_144_,10.86µm
_218_,10.86µm
_004_,10.82µm
_332_,10.82µm
_259_,10.78µm
_372_,10.58µm
a[0],10.56µm
_119_,10.5µm
a_low\[3\],10.48µm
_213_,10.4µm
_330_,10.4µm
_140_,10.34µm
product[14],10.32µm
product[15],10.32µm
_109_,10.3µm
pp1\[2\],10.24µm
_147_,10.16µm
a[7],10.08µm
_357_,10.07µm
_201_,10.06µm
_116_,10.04µm
_035_,9.96µm
_165_,9.94µm
_023_,9.86µm
_181_,9.86µm
_352_,9.86µm
product[13],9.86µm
_145_,9.84µm
_355_,9.74µm
pp3\[6\],9.52µm
_200_,9.5µm
_313_,9.46µm
_299_,9.44µm
_276_,9.34µm
_064_,9.33µm
net23,9.32µm
_198_,9.28µm
_223_,9.26µm
_178_,9.24µm
_187_,9.24µm
_189_,9.24µm
_233_,9.24µm
_349_,9.24µm
_031_,9.2µm
_251_,9.12µm
_034_,9.08µm
_266_,9.08µm
_249_,9.04µm
pp1\[4\],9.04µm
product[1],8.96µm
product[2],8.96µm
product[3],8.96µm
_253_,8.8µm
_246_,8.7µm
_241_,8.64µm
_237_,8.6µm
_224_,8.54µm
_222_,8.5µm
_270_,8.44µm
_167_,8.34µm
_184_,8.34µm
_191_,8.31µm
_081_,8.29µm
_067_,8.24µm
_311_,8.24µm
_134_,8.22µm
_328_,8.22µm
net10,8.16µm
_022_,8.12µm
pp3\[4\],8.12µm
_273_,8.06µm
_361_,8.04µm
_225_,8.01µm
a[4],8.01µm
_122_,7.98µm
_269_,7.98µm
_285_,7.96µm
_274_,7.9µm
net7,7.8µm
_257_,7.78µm
pp2\[4\],7.78µm
_258_,7.75µm
_014_,7.725µm
_036_,7.7µm
_176_,7.7µm
_316_,7.66µm
b[3],7.59µm
_373_,7.56µm
pp2\[3\],7.56µm
_045_,7.49µm
pp1\[3\],7.46µm
_113_,7.445µm
_179_,7.44µm
pp2\[1\],7.44µm
_321_,7.32µm
pp1\[6\],7.32µm
_012_,7.3µm
_150_,7.3µm
_220_,7.28µm
_268_,7.28µm
pp3\[1\],7.28µm
pp0\[0\],7.22µm
_204_,7.2µm
_226_,7.2µm
net5,7.18µm
_199_,7.1µm
_089_,7.03µm
_207_,6.985µm
_138_,6.98µm
_271_,6.96µm
b[6],6.91µm
product[4],6.91µm
_297_,6.88µm
_304_,6.86µm
_335_,6.84µm
pp1\[7\],6.82µm
_192_,6.76µm
_154_,6.74µm
b[4],6.65µm
_114_,6.64µm
_296_,6.64µm
_312_,6.6µm
product[12],6.55µm
_367_,6.54µm
product[11],6.43µm
_019_,6.42µm
_021_,6.42µm
_341_,6.4µm
_292_,6.32µm
_348_,6.32µm
a[2],6.31µm
a[5],6.31µm
net65,6.3µm
_366_,6.28µm
product[7],6.21µm
product[8],6.21µm
pp3\[0\],6.18µm
pp3\[5\],6.18µm
_295_,6.14µm
_196_,6.065µm
_190_,6.06µm
_345_,6.06µm
_314_,6.04µm
b[0],5.99µm
b[7],5.97µm
_126_,5.94µm
_248_,5.94µm
_130_,5.92µm
product[6],5.87µm
net28,5.86µm
_279_,5.82µm
_163_,5.72µm
_172_,5.72µm
_120_,5.68µm
a[1],5.63µm
a[3],5.63µm
_059_,5.56µm
_083_,5.56µm
_238_,5.54µm
product[9],5.53µm
_005_,5.5µm
_133_,5.4µm
_347_,5.4µm
net19,5.38µm
_128_,5.36µm
net29,5.34µm
_152_,5.26µm
_136_,5.22µm
_159_,5.22µm
_331_,5.22µm
_124_,5.14µm
_169_,5.14µm
_206_,5.14µm
_244_,5.14µm
_306_,5.14µm
net6,5.14µm
product[5],5.07µm
_026_,5.065µm
_127_,5.02µm
_091_,5µm
a[6],4.95µm
b[5],4.95µm
_278_,4.94µm
_329_,4.94µm
_030_,4.92µm
_371_,4.92µm
_180_,4.88µm
product[10],4.85µm
_095_,4.8µm
_132_,4.8µm
_156_,4.8µm
_282_,4.8µm
_334_,4.8µm
_061_,4.76µm
net21,4.76µm
net22,4.76µm
_079_,4.73µm
_093_,4.68µm
_188_,4.68µm
_369_,4.68µm
_058_,4.61µm
_075_,4.61µm
b[2],4.61µm
_174_,4.58µm
net9,4.58µm
_175_,4.555µm
_092_,4.54µm
_111_,4.48µm
_143_,4.48µm
pp1\[1\],4.48µm
_186_,4.465µm
pp0\[2\],4.46µm
_343_,4.44µm
rst,4.39µm
_370_,4.36µm
_376_,4.36µm
_344_,4.34µm
net27,4.34µm
net68,4.34µm
_294_,4.32µm
_047_,4.22µm
_288_,4.22µm
_303_,4.22µm
_017_,4.145µm
_057_,4.12µm
_077_,4.08µm
_137_,4.08µm
_359_,4µm
_360_,4µm
_298_,3.88µm
_364_,3.88µm
net26,3.88µm
_217_,3.78µm
_033_,3.76µm
net1,3.76µm
_049_,3.69µm
_323_,3.68µm
pp0\[1\],3.68µm
_161_,3.66µm
net66,3.66µm
_162_,3.64µm
_060_,3.59µm
_082_,3.59µm
_290_,3.56µm
_018_,3.54µm
_255_,3.54µm
_317_,3.54µm
_319_,3.54µm
_354_,3.44µm
_142_,3.42µm
net24,3.42µm
net25,3.42µm
_044_,3.3µm
_211_,3.3µm
net64,3.3µm
_101_,3.23µm
_135_,3.22µm
_102_,3.15µm
_029_,3.1µm
_214_,3.1µm
net11,3.1µm
_208_,3.08µm
_320_,3.08µm
_336_,3.08µm
_050_,3.06µm
_368_,2.98µm
_168_,2.96µm
_302_,2.96µm
_046_,2.84µm
_051_,2.84µm
_053_,2.84µm
_054_,2.84µm
_055_,2.84µm
net14,2.84µm
_289_,2.835µm
_025_,2.76µm
_078_,2.74µm
_307_,2.74µm
_062_,2.69µm
_096_,2.69µm
_097_,2.69µm
_032_,2.665µm
_362_,2.64µm
_205_,2.62µm
net18,2.62µm
net20,2.62µm
net67,2.62µm
_146_,2.52µm
_069_,2.5µm
_104_,2.5µm
_350_,2.5µm
net16,2.5µm
_088_,2.38µm
_094_,2.38µm
_107_,2.38µm
_182_,2.3µm
pp0\[3\],2.3µm
_027_,2.28µm
_160_,2.28µm
_048_,2.23µm
_063_,2.23µm
_073_,2.23µm
_074_,2.23µm
_076_,2.23µm
_080_,2.23µm
_087_,2.23µm
_098_,2.23µm
_100_,2.23µm
_013_,2.18µm
_185_,2.18µm
_072_,2.16µm
_193_,2.16µm
net2,2.16µm
net3,2.16µm
net4,2.16µm
net8,2.16µm
net63,2.16µm
_356_,2.06µm
_066_,2.04µm
_070_,2.04µm
_129_,2.04µm
net30,2.04µm
net32,2.04µm
net33,2.04µm
_123_,1.94µm
_037_,1.84µm
_346_,1.84µm
_015_,1.82µm
_056_,1.82µm
_065_,1.82µm
_085_,1.82µm
_103_,1.82µm
net13,1.82µm
_247_,1.72µm
_375_,1.72µm
_071_,1.7µm
_318_,1.7µm
net31,1.7µm
pp3\[7\],1.6µm
_139_,1.38µm
_149_,1.38µm
_052_,1.36µm
_068_,1.36µm
_084_,1.36µm
_086_,1.36µm
_090_,1.36µm
_099_,1.36µm
_105_,1.36µm
_106_,1.36µm
net12,1.36µm
net15,1.36µm
_229_,1.26µm
_284_,1.26µm
_231_,1.14µm
_263_,1.14µm
_242_,0.92µm
_281_,0.92µm
_300_,0.92µm
_374_,0.92µm
_250_,0.8µm
