Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_35_209,VPWR,li1,103.0400,106.0800,1.799529
FILLER_35_197,VPWR,li1,98.9000,106.0800,1.799529
FILLER_35_195,VPWR,li1,95.4500,106.0800,1.799529
FILLER_35_189,VPWR,li1,93.8400,106.0800,1.799529
FILLER_35_182,VPWR,li1,89.9300,106.0800,1.799532
FILLER_35_177,VPWR,li1,87.1700,106.0800,1.799535
FILLER_35_169,VPWR,li1,85.1000,106.0800,1.799541
FILLER_35_166,VPWR,li1,82.3400,106.0800,1.799547
FILLER_35_149,VPWR,li1,74.5200,106.0800,1.799575
FILLER_35_141,VPWR,li1,72.2200,106.0800,1.799586
FILLER_35_137,VPWR,li1,69.2300,106.0800,1.799607
FILLER_35_125,VPWR,li1,65.7800,106.0800,1.799618
FILLER_35_113,VPWR,li1,60.2600,106.0800,1.799645
FILLER_35_111,VPWR,li1,56.8100,106.0800,1.799676
FILLER_35_99,VPWR,li1,53.8200,106.0800,1.799688
FILLER_35_93,VPWR,li1,48.9900,106.0800,1.799718
FILLER_35_85,VPWR,li1,46.4600,106.0800,1.799735
FILLER_35_81,VPWR,li1,43.4700,106.0800,1.799759
FILLER_35_69,VPWR,li1,40.0200,106.0800,1.799781
FILLER_35_57,VPWR,li1,34.5000,106.0800,1.799818
FILLER_35_55,VPWR,li1,31.0500,106.0800,1.799853
FILLER_35_51,VPWR,li1,29.9000,106.0800,1.799853
FILLER_35_41,VPWR,li1,25.3000,106.0800,1.799900
FILLER_35_37,VPWR,li1,22.7700,106.0800,1.799916
FILLER_35_29,VPWR,li1,20.7000,106.0800,1.799916
FILLER_35_27,VPWR,li1,18.1700,106.0800,1.799916
FILLER_35_23,VPWR,li1,16.3300,106.0800,1.799916
FILLER_35_15,VPWR,li1,14.2600,106.0800,1.799916
FILLER_35_3,VPWR,li1,9.6600,106.0800,1.799916
FILLER_34_209,VPWR,li1,103.0400,106.0800,1.799529
FILLER_34_197,VPWR,li1,98.9000,106.0800,1.799529
FILLER_34_184,VPWR,li1,92.9200,106.0800,1.799529
FILLER_34_135,VPWR,li1,68.0800,106.0800,1.799607
FILLER_34_110,VPWR,li1,56.5800,106.0800,1.799676
FILLER_34_83,VPWR,li1,43.9300,106.0800,1.799759
FILLER_34_73,VPWR,li1,39.7900,106.0800,1.799781
FILLER_34_65,VPWR,li1,37.2600,106.0800,1.799798
FILLER_34_41,VPWR,li1,24.6100,106.0800,1.799900
FILLER_34_33,VPWR,li1,22.5400,106.0800,1.799916
FILLER_34_29,VPWR,li1,19.0900,106.0800,1.799916
FILLER_34_27,VPWR,li1,18.1700,106.0800,1.799916
FILLER_34_15,VPWR,li1,15.1800,106.0800,1.799916
FILLER_34_3,VPWR,li1,9.6600,106.0800,1.799916
FILLER_33_189,VPWR,li1,93.8400,100.6400,1.799207
FILLER_33_132,VPWR,li1,66.4700,100.6400,1.799385
FILLER_33_120,VPWR,li1,63.4800,100.6400,1.799413
FILLER_33_97,VPWR,li1,50.6000,100.6400,1.799537
FILLER_33_61,VPWR,li1,33.8100,100.6400,1.799721
FILLER_33_57,VPWR,li1,32.6600,100.6400,1.799721
FILLER_33_54,VPWR,li1,30.8200,100.6400,1.799742
FILLER_33_6,VPWR,li1,10.1200,100.6400,1.799828
FILLER_32_209,VPWR,li1,102.1200,100.6400,1.799179
FILLER_32_205,VPWR,li1,100.0500,100.6400,1.799184
FILLER_32_197,VPWR,li1,97.9800,100.6400,1.799191
FILLER_32_192,VPWR,li1,94.7600,100.6400,1.799207
FILLER_32_180,VPWR,li1,91.0800,100.6400,1.799218
FILLER_32_176,VPWR,li1,86.7100,100.6400,1.799235
FILLER_32_168,VPWR,li1,83.0300,100.6400,1.799257
FILLER_32_147,VPWR,li1,74.9800,100.6400,1.799314
FILLER_32_141,VPWR,li1,71.0700,100.6400,1.799343
FILLER_32_134,VPWR,li1,68.5400,100.6400,1.799366
FILLER_32_122,VPWR,li1,64.4000,100.6400,1.799413
FILLER_32_112,VPWR,li1,57.5000,100.6400,1.799468
FILLER_32_100,VPWR,li1,54.2800,100.6400,1.799512
FILLER_32_85,VPWR,li1,45.0800,100.6400,1.799597
FILLER_32_61,VPWR,li1,33.8100,100.6400,1.799721
FILLER_32_53,VPWR,li1,31.7400,100.6400,1.799742
FILLER_32_41,VPWR,li1,27.1400,100.6400,1.799798
FILLER_32_29,VPWR,li1,21.6200,100.6400,1.799849
FILLER_32_27,VPWR,li1,18.1700,100.6400,1.799836
FILLER_32_23,VPWR,li1,17.0200,100.6400,1.799836
FILLER_31_210,VPWR,li1,102.3500,95.2000,1.799375
FILLER_31_204,VPWR,li1,100.7400,95.2000,1.799375
FILLER_31_179,VPWR,li1,88.3200,95.2000,1.799416
FILLER_31_157,VPWR,li1,79.5800,95.2000,1.799451
FILLER_31_133,VPWR,li1,66.9300,95.2000,1.799539
FILLER_31_127,VPWR,li1,65.3200,95.2000,1.799539
FILLER_31_109,VPWR,li1,56.3500,95.2000,1.799616
FILLER_31_104,VPWR,li1,53.8200,95.2000,1.799636
FILLER_31_92,VPWR,li1,48.0700,95.2000,1.799684
FILLER_31_78,VPWR,li1,41.6300,95.2000,1.799738
FILLER_31_65,VPWR,li1,35.8800,95.2000,1.799774
FILLER_31_57,VPWR,li1,33.5800,95.2000,1.799794
