net,length_um
net26,5.38µm
net28,5.38µm
net31,5.38µm
net32,5.38µm
_094_,5.36µm
_146_,5.36µm
_198_,5.36µm
_033_,5.34µm
_160_,5.24µm
_060_,5.22µm
_071_,5.22µm
product[7],5.19µm
_172_,5.14µm
_242_,5.14µm
_015_,5.1µm
_178_,5.02µm
_187_,5.02µm
_217_,5.02µm
product_reg\[11\],5µm
_096_,4.94µm
_022_,4.92µm
_199_,4.92µm
_195_,4.88µm
product[5],4.85µm
product[8],4.85µm
_040_,4.82µm
_181_,4.82µm
_021_,4.8µm
_062_,4.8µm
_066_,4.8µm
_167_,4.8µm
_291_,4.8µm
_306_,4.8µm
net33,4.76µm
_014_,4.68µm
product_reg\[1\],4.58µm
_184_,4.56µm
_311_,4.56µm
net3,4.54µm
net7,4.54µm
_304_,4.46µm
_316_,4.46µm
net30,4.42µm
net19,4.34µm
net34,4.34µm
_011_,4.27µm
_300_,4.24µm
_156_,4.14µm
_164_,4.14µm
_202_,4.14µm
_177_,4.1µm
_292_,4.02µm
_320_,4.02µm
_144_,4µm
_252_,4µm
_012_,3.98µm
_258_,3.9µm
_042_,3.88µm
_295_,3.88µm
net20,3.88µm
_180_,3.76µm
_141_,3.54µm
_234_,3.54µm
net17,3.54µm
_294_,3.44µm
_248_,3.42µm
net23,3.42µm
_000_,3.4µm
_006_,3.4µm
_282_,3.32µm
_086_,3.3µm
product_reg\[7\],3.22µm
net12,3.2µm
_147_,3.18µm
_009_,3.15µm
_243_,3.08µm
_027_,3.06µm
_036_,2.96µm
_130_,2.96µm
net18,2.96µm
_020_,2.84µm
_023_,2.84µm
product_reg\[4\],2.76µm
product_reg\[6\],2.74µm
_039_,2.62µm
_247_,2.62µm
product_reg\[5\],2.62µm
_007_,2.5µm
_194_,2.5µm
_231_,2.5µm
_235_,2.5µm
_255_,2.5µm
_264_,2.5µm
_283_,2.5µm
_288_,2.5µm
net25,2.5µm
net66,2.5µm
_008_,2.38µm
_013_,2.38µm
_017_,2.38µm
_019_,2.38µm
_024_,2.38µm
_028_,2.38µm
_030_,2.38µm
_031_,2.38µm
_136_,2.3µm
product_reg\[3\],2.28µm
_005_,2.23µm
_018_,2.23µm
_179_,2.18µm
_192_,2.18µm
_221_,2.18µm
_229_,2.18µm
_314_,2.18µm
_100_,2.16µm
_132_,2.16µm
_176_,2.16µm
_297_,2.16µm
_313_,2.16µm
product_reg\[2\],2.16µm
net11,2.16µm
net13,2.16µm
net14,2.16µm
net15,2.16µm
_212_,2.04µm
net24,2.04µm
net29,2.04µm
_091_,1.94µm
_274_,1.915µm
_108_,1.84µm
_170_,1.84µm
_001_,1.82µm
_004_,1.82µm
product_reg\[13\],1.82µm
net6,1.82µm
net16,1.82µm
_068_,1.7µm
product_reg\[15\],1.7µm
net27,1.7µm
net63,1.7µm
_145_,1.38µm
_207_,1.38µm
_002_,1.36µm
_003_,1.36µm
_016_,1.36µm
_025_,1.36µm
_026_,1.36µm
_029_,1.36µm
_267_,1.14µm
_310_,1.14µm
